,Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Attendance,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)","(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(0, 1, 0)","(0, 1, 1)","(0, 1, 2)","(0, 2, 0)","(0, 2, 1)","(0, 2, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(1, 2, 0)","(1, 2, 1)","(1, 2, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)",Standings_Bucket,Standings_Bucket_Next
835,2000,29,Utah Jazz,1,0,82,55,27,2.0370370369999997,240.9,36.1,77.8,0.46399999999999997,4.0,10.4,0.385,32.1,67.4,0.47600000000000003,20.3,26.2,0.773,11.4,29.6,41.0,24.9,7.7,5.4,14.9,24.5,96.5,31.5,54,28,4.46,0.05,4.52,107.3,102.3,89.6,0.337,0.134,0.54,0.49,14.3,29.5,0.26,0.49,14.3,73.2,0.26,801268,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836,2001,29,Utah Jazz,1,0,82,53,29,1.827586207,241.2,36.1,76.7,0.47100000000000003,4.0,10.4,0.381,32.1,66.3,0.485,20.9,27.8,0.752,11.5,29.1,40.6,25.7,8.1,5.6,15.8,25.7,97.1,32.0,55,27,4.7,0.31,5.0,107.6,102.4,89.8,0.363,0.135,0.546,0.49700000000000005,15.1,30.2,0.273,0.49700000000000005,15.1,73.2,0.273,792196,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837,2002,29,Utah Jazz,1,0,82,44,38,1.1578947370000001,241.8,35.0,77.7,0.45,3.4,10.3,0.33299999999999996,31.6,67.5,0.46799999999999997,22.6,29.6,0.763,13.5,28.6,42.2,24.4,9.1,6.4,16.5,24.0,96.0,29.9,44,38,0.89,0.32,1.21,105.6,104.6,90.3,0.381,0.132,0.529,0.47200000000000003,15.4,33.5,0.29100000000000004,0.47200000000000003,15.4,71.7,0.29100000000000004,766108,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838,2003,29,Utah Jazz,1,0,82,47,35,1.342857143,241.2,35.3,75.5,0.46799999999999997,2.7,7.8,0.349,32.6,67.7,0.48100000000000004,21.3,28.6,0.745,12.5,29.0,41.5,25.6,8.6,5.7,16.8,22.4,94.7,30.9,48,34,2.39,0.37,2.76,105.5,102.8,89.3,0.38,0.10400000000000001,0.537,0.486,16.0,32.5,0.28300000000000003,0.486,16.0,70.2,0.28300000000000003,786034,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
839,2004,29,Utah Jazz,1,0,82,42,40,1.05,241.2,32.8,75.3,0.436,3.1,9.6,0.321,29.7,65.7,0.45299999999999996,20.0,26.8,0.746,13.5,27.7,41.2,20.4,7.1,6.0,16.6,25.6,88.7,24.9,37,45,-1.22,0.69,-0.53,101.9,103.3,86.6,0.35600000000000004,0.127,0.509,0.456,16.1,34.1,0.266,0.456,16.1,72.4,0.266,785330,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
840,2005,29,Utah Jazz,1,0,82,26,56,0.46428571399999996,241.2,34.5,76.8,0.449,3.0,9.3,0.32799999999999996,31.4,67.5,0.465,21.0,27.7,0.757,12.8,27.4,40.1,22.3,6.6,4.6,15.8,26.7,93.0,25.7,29,53,-4.27,0.53,-3.74,104.7,109.5,88.4,0.361,0.121,0.522,0.469,15.0,31.9,0.273,0.469,15.0,72.3,0.273,769014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
841,2006,29,Utah Jazz,1,0,82,41,41,1.0,242.4,33.5,75.7,0.442,3.8,11.3,0.336,29.7,64.4,0.461,21.6,30.1,0.7190000000000001,13.1,29.0,42.1,21.6,6.4,6.0,15.7,24.8,92.4,25.6,33,49,-2.63,0.14,-2.49,104.1,107.0,87.8,0.397,0.149,0.519,0.467,15.0,32.4,0.28600000000000003,0.467,15.0,73.2,0.28600000000000003,751621,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
842,2007,29,Utah Jazz,1,1,82,51,31,1.64516129,241.5,37.4,78.9,0.474,4.3,12.9,0.335,33.1,66.0,0.501,22.3,30.0,0.743,12.6,30.0,42.5,24.7,7.0,4.1,15.6,25.2,101.5,25.9,49,33,2.87,0.2,3.06,110.1,107.0,91.6,0.38,0.163,0.551,0.502,14.5,31.7,0.28300000000000003,0.502,14.5,75.1,0.28300000000000003,802214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
843,2008,29,Utah Jazz,1,0,82,54,28,1.928571429,240.3,40.0,80.4,0.49700000000000005,5.0,13.4,0.37200000000000005,35.0,67.0,0.522,21.3,28.0,0.759,11.5,29.4,40.9,26.4,8.7,4.3,14.6,24.0,106.2,25.3,59,23,6.88,-0.01,6.86,113.8,106.5,93.2,0.349,0.166,0.573,0.528,13.6,29.5,0.265,0.528,13.6,74.1,0.265,816211,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,2009,29,Utah Jazz,1,0,82,48,34,1.411764706,242.4,38.3,80.8,0.475,4.8,13.7,0.349,33.5,67.1,0.5,22.1,28.7,0.7709999999999999,11.5,29.5,41.0,24.7,8.8,4.6,14.8,22.3,103.6,25.5,48,34,2.65,-0.34,2.31,110.1,107.3,93.1,0.355,0.16899999999999998,0.5539999999999999,0.504,13.6,28.2,0.27399999999999997,0.504,13.6,72.7,0.27399999999999997,816042,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,2010,29,Utah Jazz,1,0,82,53,29,1.827586207,240.9,39.4,80.2,0.491,5.4,14.7,0.364,34.0,65.5,0.519,20.2,27.2,0.741,10.6,31.6,42.2,26.7,8.2,4.9,15.2,22.7,104.2,25.6,55,27,5.34,-0.01,5.33,110.7,105.0,93.8,0.34,0.184,0.565,0.524,14.2,26.8,0.252,0.524,14.2,75.6,0.252,794512,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
846,2011,29,Utah Jazz,1,0,82,39,43,0.9069767440000001,242.4,37.4,80.4,0.465,5.3,15.3,0.34600000000000003,32.1,65.0,0.493,19.4,25.1,0.7709999999999999,11.0,28.5,39.5,23.4,7.7,5.9,14.3,22.7,99.4,26.8,36,46,-1.83,0.39,-1.44,108.1,110.1,91.0,0.313,0.191,0.544,0.498,13.5,27.0,0.24100000000000002,0.498,13.5,71.7,0.24100000000000002,799982,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
