,Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Attendance,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)","(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(0, 1, 0)","(0, 1, 1)","(0, 1, 2)","(0, 2, 0)","(0, 2, 1)","(0, 2, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(1, 2, 0)","(1, 2, 1)","(1, 2, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)",Standings_Bucket,Standings_Bucket_Next
13,2000,1,Atlanta Hawks,0,0,82,28,54,0.518518519,241.8,36.6,83.0,0.441,3.1,9.9,0.317,33.4,73.1,0.45799999999999996,18.0,24.2,0.743,14.0,31.3,45.3,18.9,6.1,5.6,15.4,21.0,94.3,27.6,26,56,-5.38,-0.04,-5.41,102.0,107.9,91.7,0.292,0.12,0.503,0.46,14.1,31.7,0.217,0.46,14.1,71.0,0.217,600954,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
14,2001,1,Atlanta Hawks,0,0,82,25,57,0.43859649100000003,240.6,35.1,81.3,0.431,4.1,11.4,0.35700000000000004,31.0,69.9,0.44299999999999995,16.8,22.1,0.759,12.5,30.4,42.9,19.0,7.7,4.7,16.7,22.7,91.0,26.1,26,56,-5.21,-0.34,-5.55,98.7,104.3,91.9,0.272,0.14,0.5,0.456,15.5,28.9,0.20600000000000002,0.456,15.5,70.8,0.20600000000000002,560330,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
15,2002,1,Atlanta Hawks,0,0,82,33,49,0.673469388,241.2,35.4,80.6,0.439,5.2,14.6,0.354,30.2,66.0,0.45799999999999996,18.1,23.7,0.765,11.6,29.8,41.5,20.2,8.1,4.3,15.5,20.8,94.0,25.7,29,53,-4.23,-0.18,-4.41,101.8,106.4,91.9,0.294,0.18100000000000002,0.517,0.47100000000000003,14.6,27.5,0.225,0.47100000000000003,14.6,70.9,0.225,506110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
16,2003,1,Atlanta Hawks,0,0,82,35,47,0.7446808509999999,242.7,34.9,78.5,0.444,4.9,13.9,0.35200000000000004,30.0,64.5,0.46399999999999997,19.4,24.5,0.7929999999999999,11.4,31.2,42.6,20.5,7.5,5.8,16.7,21.7,94.1,27.2,31,51,-3.56,-0.31,-3.87,102.3,106.1,91.0,0.313,0.177,0.527,0.47600000000000003,15.7,27.9,0.248,0.47600000000000003,15.7,70.4,0.248,528655,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
17,2004,1,Atlanta Hawks,0,0,82,28,54,0.518518519,242.7,34.5,79.6,0.433,5.1,15.2,0.335,29.4,64.4,0.456,18.7,24.1,0.7759999999999999,12.1,30.6,42.7,20.1,7.6,5.0,16.5,22.3,92.8,26.2,28,54,-4.65,-0.36,-5.0,101.0,106.1,90.8,0.303,0.191,0.514,0.465,15.4,28.6,0.235,0.465,15.4,70.5,0.235,565728,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
18,2005,1,Atlanta Hawks,0,0,82,13,69,0.18840579699999999,242.1,35.9,81.4,0.441,3.7,11.9,0.312,32.2,69.5,0.46299999999999997,17.3,24.3,0.711,13.4,28.5,41.9,19.7,7.7,4.2,16.1,24.5,92.7,26.0,16,66,-9.71,0.09,-9.62,100.6,111.1,91.4,0.299,0.146,0.504,0.46399999999999997,14.9,30.7,0.212,0.46399999999999997,14.9,72.1,0.212,586390,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
19,2006,1,Atlanta Hawks,0,0,82,26,56,0.46428571399999996,242.4,35.9,79.2,0.45399999999999996,5.2,14.1,0.36700000000000005,30.8,65.1,0.47200000000000003,20.2,26.9,0.75,13.0,27.2,40.3,19.8,7.2,4.8,15.7,25.0,97.2,22.7,28,54,-4.76,0.07,-4.69,106.4,111.6,90.4,0.34,0.17800000000000002,0.534,0.486,14.7,31.4,0.255,0.486,14.7,69.5,0.255,617817,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
20,2007,1,Atlanta Hawks,0,0,82,30,52,0.576923077,242.4,34.5,77.7,0.444,4.2,12.7,0.32899999999999996,30.4,65.0,0.467,20.5,26.9,0.7609999999999999,11.9,28.2,40.1,19.2,7.4,5.4,15.9,24.0,93.7,24.1,27,55,-4.76,-0.1,-4.86,103.0,108.3,90.0,0.34600000000000003,0.163,0.523,0.47100000000000003,15.1,29.2,0.263,0.47100000000000003,15.1,70.9,0.263,639375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
21,2008,1,Atlanta Hawks,0,0,82,37,45,0.8222222220000001,242.1,36.3,79.9,0.45399999999999996,4.7,13.1,0.35600000000000004,31.6,66.8,0.473,21.0,27.2,0.772,12.3,29.9,42.2,22.0,7.3,5.5,14.9,20.4,98.2,24.2,36,46,-1.82,-0.41,-2.23,106.9,108.9,91.1,0.34,0.165,0.535,0.483,14.0,29.7,0.263,0.483,14.0,71.7,0.263,667518,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,2009,1,Atlanta Hawks,0,0,82,47,35,1.342857143,240.3,36.0,78.7,0.45799999999999996,7.3,19.9,0.366,28.8,58.8,0.49,18.7,25.4,0.737,10.6,29.4,40.0,20.2,7.4,4.6,12.8,19.6,98.1,25.8,46,36,1.57,0.13,1.7,109.3,107.6,89.6,0.32299999999999995,0.253,0.546,0.504,12.5,26.0,0.23800000000000002,0.504,12.5,71.6,0.23800000000000002,686688,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2010,1,Atlanta Hawks,0,0,82,53,29,1.827586207,242.1,38.8,82.9,0.46799999999999997,6.4,17.7,0.36,32.4,65.2,0.49700000000000005,17.7,23.3,0.759,11.8,29.9,41.7,21.8,7.2,5.0,12.0,19.9,101.7,26.5,54,28,4.66,-0.22,4.44,111.9,106.7,90.1,0.281,0.214,0.545,0.506,11.4,28.2,0.213,0.506,11.4,72.7,0.213,678375,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2011,1,Atlanta Hawks,0,0,82,44,38,1.1578947370000001,240.6,36.2,78.4,0.462,6.1,17.4,0.35200000000000004,30.1,61.0,0.494,16.4,21.1,0.779,9.3,30.0,39.3,22.0,6.1,4.2,13.6,19.0,95.0,27.4,39,43,-0.82,-0.28,-1.1,106.1,107.0,89.3,0.26899999999999996,0.222,0.542,0.501,13.5,23.4,0.209,0.501,13.5,74.6,0.209,641596,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2012,1,Atlanta Hawks,0,0,66,40,26,1.5384615380000002,244.9,36.8,81.0,0.45399999999999996,7.5,20.2,0.37,29.3,60.9,0.48200000000000004,15.5,21.0,0.74,9.9,31.3,41.2,22.4,8.1,4.6,14.0,17.8,96.6,27.9,41,25,3.44,-0.77,2.67,104.9,101.2,90.2,0.259,0.249,0.535,0.5,13.4,23.9,0.192,0.5,13.4,74.4,0.192,501593,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2013,1,Atlanta Hawks,0,0,82,44,38,1.1578947370000001,242.1,37.6,81.0,0.46399999999999997,8.6,23.2,0.371,29.0,57.8,0.501,14.1,19.7,0.715,9.2,31.6,40.9,24.5,8.1,4.5,14.9,18.0,98.0,27.1,42,40,0.4,-0.48,-0.08,104.8,104.4,92.6,0.244,0.28600000000000003,0.546,0.517,14.2,22.2,0.174,0.517,14.2,73.6,0.174,620146,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2014,1,Atlanta Hawks,0,0,82,38,44,0.8636363640000001,241.8,37.3,81.6,0.45799999999999996,9.4,25.8,0.363,28.0,55.8,0.502,17.0,21.7,0.7809999999999999,8.7,31.3,40.0,24.9,8.3,4.0,15.3,19.2,101.0,27.5,40,42,-0.48,-0.4,-0.88,105.9,106.4,94.6,0.266,0.316,0.5539999999999999,0.515,14.3,21.0,0.20800000000000002,0.515,14.3,74.4,0.20800000000000002,587927,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2015,1,Atlanta Hawks,0,1,82,60,22,2.727272727,240.6,38.1,81.7,0.466,10.0,26.2,0.38,28.1,55.5,0.506,16.5,21.2,0.778,8.7,31.8,40.6,25.7,9.1,4.6,14.2,17.8,102.5,27.8,56,26,5.43,-0.68,4.75,108.9,103.1,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.527,13.5,73.4,0.201,713909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016,1,Atlanta Hawks,0,0,82,48,34,1.411764706,241.8,38.6,84.4,0.45799999999999996,9.9,28.4,0.35,28.7,56.1,0.512,15.6,20.0,0.7829999999999999,8.3,33.8,42.1,25.6,9.1,5.9,15.0,19.1,102.8,28.2,51,31,3.61,-0.12,3.49,105.1,101.4,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.516,13.8,74.6,0.185,690150,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2017,1,Atlanta Hawks,0,0,82,43,39,1.102564103,242.4,38.1,84.4,0.451,8.9,26.1,0.341,29.2,58.3,0.501,18.1,24.9,0.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2,27.9,39,43,-0.85,-0.38,-1.23,104.9,105.7,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,0.504,14.2,76.1,0.215,654306,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2000,2,Boston Celtics,0,0,82,35,47,0.7446808509999999,240.6,37.2,83.9,0.444,5.1,15.4,0.331,32.2,68.5,0.469,19.8,26.5,0.745,13.5,29.5,43.0,21.2,9.7,3.5,15.4,27.1,99.3,25.4,39,43,-0.76,-0.24,-1.0,104.8,105.6,94.6,0.316,0.183,0.52,0.474,13.8,30.4,0.23600000000000002,0.474,13.8,73.8,0.23600000000000002,683608,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
45,2001,2,Boston Celtics,0,0,82,36,46,0.7826086959999999,241.8,33.8,79.1,0.428,7.2,19.9,0.363,26.6,59.2,0.45,19.8,26.7,0.74,10.9,28.9,39.8,20.8,9.4,4.1,15.7,23.8,94.6,25.9,35,47,-2.13,-0.26,-2.4,101.4,103.7,92.6,0.33799999999999997,0.252,0.521,0.473,14.7,25.3,0.25,0.473,14.7,72.7,0.25,629201,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
46,2002,2,Boston Celtics,0,1,82,49,33,1.484848485,241.8,34.8,82.1,0.424,8.5,23.7,0.359,26.3,58.4,0.45,18.3,23.9,0.764,10.9,31.3,42.2,21.0,9.7,3.6,13.6,21.7,96.4,26.2,48,34,2.21,-0.46,1.75,103.4,101.0,92.5,0.29100000000000004,0.289,0.52,0.47600000000000003,12.8,24.1,0.223,0.47600000000000003,12.8,72.9,0.223,659751,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,2003,2,Boston Celtics,0,0,82,44,38,1.1578947370000001,241.8,32.9,79.4,0.415,8.8,26.3,0.33399999999999996,24.2,53.1,0.455,18.0,24.3,0.742,10.4,30.1,40.5,19.2,8.8,3.7,14.0,21.4,92.7,26.9,40,42,-0.39,-0.36,-0.75,101.2,101.6,90.9,0.306,0.331,0.514,0.47,13.4,23.6,0.22699999999999998,0.47,13.4,72.5,0.22699999999999998,709049,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2004,2,Boston Celtics,0,0,82,36,46,0.7826086959999999,240.3,34.7,78.2,0.44299999999999995,6.7,19.5,0.34600000000000003,27.9,58.7,0.475,19.2,25.5,0.75,10.4,29.8,40.1,20.5,9.4,4.0,16.2,22.4,95.3,26.4,37,45,-1.45,-0.54,-1.99,102.1,103.7,93.2,0.327,0.249,0.532,0.486,15.4,25.2,0.245,0.486,15.4,69.5,0.245,664248,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2005,2,Boston Celtics,0,0,82,45,37,1.2162162159999999,242.4,37.1,79.4,0.46799999999999997,5.3,15.3,0.349,31.8,64.1,0.496,21.6,28.3,0.764,11.1,29.7,40.8,22.1,8.1,5.2,15.8,24.4,101.3,27.1,43,39,0.87,-0.52,0.35,107.5,106.6,93.3,0.35700000000000004,0.192,0.551,0.501,14.7,27.2,0.273,0.501,14.7,70.1,0.273,656081,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,2006,2,Boston Celtics,0,0,82,33,49,0.673469388,242.4,36.0,77.1,0.467,5.7,15.7,0.36200000000000004,30.3,61.4,0.494,20.3,26.9,0.755,9.9,29.7,39.6,20.9,7.0,5.1,16.6,24.8,98.0,25.3,37,45,-1.54,-0.05,-1.59,105.2,106.9,92.2,0.349,0.204,0.551,0.504,15.7,25.5,0.263,0.504,15.7,72.8,0.263,692873,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
51,2007,2,Boston Celtics,0,0,82,24,58,0.413793103,242.1,34.9,78.7,0.44299999999999995,5.7,15.6,0.36700000000000005,29.1,63.1,0.462,20.4,26.6,0.767,11.2,29.2,40.4,19.9,7.2,4.7,16.5,24.0,95.8,23.5,31,51,-3.41,-0.29,-3.7,103.2,106.9,92.0,0.337,0.19899999999999998,0.53,0.479,15.4,27.0,0.259,0.479,15.4,73.8,0.259,690576,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
52,2008,2,Boston Celtics,0,1,82,66,16,4.125,240.9,36.4,76.7,0.475,7.3,19.1,0.381,29.1,57.6,0.506,20.5,26.5,0.7709999999999999,10.1,31.9,42.0,22.4,8.5,4.6,15.2,22.7,100.5,27.9,67,15,10.26,-0.95,9.3,110.2,98.9,90.9,0.34600000000000003,0.249,0.569,0.522,14.7,26.6,0.267,0.522,14.7,74.4,0.267,763584,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,2009,2,Boston Celtics,0,0,82,62,20,3.1,242.4,37.5,77.2,0.486,6.6,16.5,0.397,30.9,60.7,0.51,19.4,25.3,0.765,10.6,31.5,42.1,22.7,7.6,4.7,15.6,23.1,100.9,27.8,61,21,7.51,-0.07,7.44,110.5,102.3,90.4,0.32799999999999996,0.214,0.5710000000000001,0.528,15.0,27.9,0.251,0.528,15.0,75.6,0.251,763584,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2010,2,Boston Celtics,0,1,82,50,32,1.5625,241.2,37.1,76.8,0.483,6.1,17.5,0.348,31.0,59.3,0.523,19.0,25.5,0.746,8.7,29.9,38.6,23.5,8.5,4.9,14.9,22.1,99.2,29.4,52,30,3.66,-0.29,3.37,107.7,103.8,91.6,0.332,0.228,0.564,0.522,14.5,22.8,0.248,0.522,14.5,73.8,0.248,763584,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2011,2,Boston Celtics,0,0,82,56,26,2.153846154,241.2,36.9,75.8,0.486,5.0,13.6,0.365,31.9,62.2,0.513,17.8,23.1,0.77,7.8,31.0,38.8,23.4,8.2,4.2,14.6,20.5,96.5,29.5,57,25,5.37,-0.54,4.83,106.2,100.3,90.4,0.305,0.18,0.561,0.519,14.5,21.1,0.235,0.519,14.5,74.7,0.235,763584,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2012,2,Boston Celtics,0,1,66,39,27,1.4444444440000002,241.5,35.5,77.1,0.46,5.5,15.0,0.36700000000000005,30.0,62.1,0.483,15.4,19.8,0.778,7.7,31.1,38.8,23.6,7.5,5.5,14.8,19.9,91.8,29.3,39,27,2.52,-0.26,2.26,101.0,98.2,90.4,0.257,0.19399999999999998,0.535,0.496,14.7,19.7,0.2,0.496,14.7,72.4,0.2,614592,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2013,2,Boston Celtics,0,0,81,41,40,1.025,244.9,37.0,79.7,0.465,6.1,17.2,0.358,30.9,62.6,0.494,16.3,21.0,0.7759999999999999,8.1,31.3,39.3,22.8,8.2,4.5,14.6,21.2,96.5,29.1,40,41,-0.22,-0.4,-0.62,103.1,103.3,91.7,0.263,0.215,0.542,0.503,14.1,20.1,0.204,0.503,14.1,73.3,0.204,744960,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,2014,2,Boston Celtics,0,0,82,25,57,0.43859649100000003,240.6,36.5,83.9,0.435,7.0,21.1,0.33299999999999996,29.5,62.9,0.47,16.2,20.8,0.777,12.0,30.5,42.5,21.0,7.1,4.2,15.4,21.3,96.2,25.4,28,54,-4.46,-0.51,-4.97,102.9,107.7,93.3,0.248,0.251,0.517,0.47700000000000004,14.2,27.4,0.193,0.47700000000000004,14.2,74.2,0.193,742400,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,2015,2,Boston Celtics,0,0,82,40,42,0.9523809520000001,242.4,38.9,87.9,0.44299999999999995,8.0,24.6,0.327,30.9,63.3,0.488,15.4,20.5,0.754,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,101.4,25.0,41,41,0.16,-0.56,-0.4,104.7,104.5,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.17600000000000002,0.489,12.5,75.0,0.17600000000000002,721350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,2016,2,Boston Celtics,0,0,82,48,34,1.411764706,241.2,39.2,89.2,0.439,8.7,26.1,0.335,30.5,63.1,0.483,18.5,23.5,0.7879999999999999,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7,25.2,50,32,3.21,-0.37,2.84,106.8,103.6,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.20800000000000002,0.488,12.1,74.6,0.20800000000000002,749076,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2017,2,Boston Celtics,0,1,82,53,29,1.827586207,240.9,38.6,85.1,0.45399999999999996,12.0,33.4,0.359,26.6,51.7,0.515,18.7,23.2,0.807,9.1,32.9,42.0,25.2,7.5,4.1,13.3,20.6,108.0,25.9,48,34,2.63,-0.39,2.25,111.2,108.4,96.8,0.273,0.39299999999999996,0.5670000000000001,0.525,12.2,21.2,0.22,0.525,12.2,75.3,0.22,760690,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2000,3,New Jersey Nets,0,0,82,31,51,0.607843137,241.8,36.3,83.9,0.433,5.8,16.8,0.34700000000000003,30.5,67.2,0.45399999999999996,19.5,24.9,0.784,12.7,28.2,40.9,20.6,8.8,4.8,13.6,23.3,98.0,27.3,38,44,-1.04,-0.15,-1.18,105.1,106.3,92.5,0.297,0.2,0.517,0.46799999999999997,12.6,28.1,0.233,0.46799999999999997,12.6,67.2,0.233,643631,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
76,2001,3,New Jersey Nets,0,0,82,26,56,0.46428571399999996,240.6,33.9,79.9,0.425,4.4,13.2,0.33299999999999996,29.5,66.7,0.44299999999999995,19.9,26.2,0.759,11.1,28.5,39.6,19.5,7.9,5.0,14.7,24.2,92.1,27.5,26,56,-5.05,-0.25,-5.3,100.0,105.5,91.8,0.32799999999999996,0.165,0.504,0.452,13.9,25.7,0.249,0.452,13.9,70.0,0.249,556573,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
77,2002,3,New Jersey Nets,0,1,82,52,30,1.733333333,241.8,37.1,83.1,0.446,4.9,14.6,0.33799999999999997,32.2,68.6,0.469,17.1,23.3,0.735,12.7,30.7,43.3,24.3,8.7,6.0,14.5,21.1,96.2,26.1,53,29,4.16,-0.49,3.67,104.0,99.5,91.8,0.28,0.175,0.515,0.47600000000000003,13.4,29.2,0.20600000000000002,0.47600000000000003,13.4,71.6,0.20600000000000002,564194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,2003,3,New Jersey Nets,0,1,82,49,33,1.484848485,240.9,35.4,80.3,0.441,4.2,12.7,0.332,31.2,67.6,0.462,20.3,26.8,0.757,12.1,30.8,42.9,23.0,8.7,4.6,14.8,21.6,95.4,27.3,56,26,5.22,-0.8,4.42,103.8,98.1,91.6,0.33299999999999996,0.158,0.518,0.46799999999999997,13.8,28.7,0.252,0.46799999999999997,13.8,73.1,0.252,622574,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2004,3,New Jersey Nets,0,0,82,47,35,1.342857143,240.3,34.3,77.7,0.441,4.6,13.7,0.336,29.7,64.0,0.46399999999999997,17.0,22.6,0.753,10.5,30.2,40.7,24.5,8.6,3.9,14.7,21.0,90.3,27.7,49,33,2.5,-0.63,1.88,100.8,98.0,89.4,0.29100000000000004,0.17600000000000002,0.515,0.47100000000000003,14.4,25.9,0.21899999999999997,0.47100000000000003,14.4,73.9,0.21899999999999997,613051,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2005,3,New Jersey Nets,0,0,82,42,40,1.05,242.7,33.6,78.3,0.429,5.3,14.7,0.36200000000000004,28.3,63.6,0.444,19.0,24.9,0.763,10.4,29.1,39.5,21.6,7.9,3.8,14.2,24.2,91.4,27.8,36,46,-1.5,-0.32,-1.82,101.4,103.1,89.1,0.318,0.187,0.512,0.46299999999999997,13.7,25.5,0.242,0.46299999999999997,13.7,73.2,0.242,618681,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2006,3,New Jersey Nets,0,0,82,49,33,1.484848485,241.2,33.9,77.0,0.44,5.8,17.6,0.33,28.1,59.4,0.47200000000000003,20.2,26.7,0.758,10.0,31.0,41.0,23.0,6.8,3.4,13.6,23.2,93.8,28.6,45,37,1.37,-0.26,1.11,103.9,102.4,89.8,0.34600000000000003,0.22899999999999998,0.528,0.478,13.3,24.0,0.262,0.478,13.3,76.3,0.262,691543,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2007,3,New Jersey Nets,0,0,82,41,41,1.0,242.4,35.5,77.8,0.457,7.4,20.4,0.363,28.1,57.4,0.49,19.1,26.3,0.727,10.0,30.8,40.8,23.9,6.1,3.3,14.8,22.8,97.6,28.2,39,43,-0.77,-0.23,-1.0,105.7,106.6,91.4,0.33799999999999997,0.263,0.546,0.504,14.2,24.6,0.245,0.504,14.2,74.4,0.245,693955,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,2008,3,New Jersey Nets,0,0,82,34,48,0.708333333,241.8,34.8,78.7,0.44299999999999995,6.1,17.4,0.348,28.8,61.2,0.47,20.1,27.3,0.736,11.1,30.7,41.9,23.5,6.4,4.8,15.0,22.6,95.8,27.4,27,55,-5.06,-0.09,-5.15,104.0,109.4,91.5,0.34700000000000003,0.222,0.528,0.48100000000000004,14.2,26.6,0.255,0.48100000000000004,14.2,73.8,0.255,641921,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
84,2009,3,New Jersey Nets,0,0,82,34,48,0.708333333,241.8,35.7,79.7,0.44799999999999995,8.0,21.2,0.376,27.7,58.5,0.473,18.8,24.1,0.779,10.4,29.5,39.8,20.0,6.8,4.8,13.1,22.4,98.1,25.7,34,48,-2.44,0.13,-2.31,108.3,111.0,89.9,0.303,0.265,0.5429999999999999,0.49700000000000005,12.7,25.2,0.23600000000000002,0.49700000000000005,12.7,73.5,0.23600000000000002,621062,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
