Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Standings_Bucket
1990,10,Golden State Warriors,1.0,0.0,82,37.0,45.0,0.8222222222222222,240.3,42.5,87.9,0.484,3.0,9.1,0.324,39.6,78.8,0.503,28.2,34.9,0.809,11.2,29.1,40.2,24.1,9.2,6.0,17.3,24.5,116.3,26.0,33,49,-3.13,0.59,-2.55,109.6,112.6,105.9,0.397,0.10400000000000001,0.563,0.501,14.3,26.1,0.321,0.501,14.3,61.5,0.321,Oakland-Alameda County Coliseum Arena,616025,2.0
1990,24,Phoenix Suns,1.0,1.0,82,54.0,28.0,1.9285714285714286,242.1,43.2,87.1,0.496,2.1,6.6,0.324,41.1,80.4,0.511,26.3,33.1,0.795,12.8,32.3,45.2,25.7,8.1,6.1,15.5,22.3,114.9,26.7,58,24,7.1,-0.01,7.09,113.1,106.2,100.7,0.38,0.076,0.565,0.509,13.3,31.1,0.302,0.509,13.3,68.8,0.302,Arizona Veterans Memorial Coliseum,578661,1.0
1990,8,Denver Nuggets,1.0,0.0,82,43.0,39.0,1.1025641025641026,241.5,45.3,97.7,0.46399999999999997,2.8,8.3,0.337,42.5,89.5,0.475,21.2,26.8,0.789,14.3,30.9,45.1,27.7,9.9,4.0,13.9,25.0,114.6,29.5,45,37,1.41,0.15,1.56,108.0,106.7,105.4,0.275,0.084,0.523,0.478,11.2,29.1,0.217,0.478,11.2,71.3,0.217,McNichols Sports Arena,484288,1.0
1990,25,Portland Trail Blazers,1.0,1.0,82,59.0,23.0,2.5652173913043477,242.4,43.6,92.0,0.473,2.3,6.9,0.336,41.2,85.1,0.484,24.8,33.3,0.743,16.5,31.1,47.6,25.4,9.1,4.4,16.5,25.0,114.2,26.7,57,25,6.32,0.16,6.48,110.5,104.4,102.3,0.36200000000000004,0.075,0.535,0.486,13.4,36.5,0.26899999999999996,0.486,13.4,70.8,0.26899999999999996,Memorial Coliseum,528132,0.0
1990,22,Orlando Magic,0.0,0.0,82,18.0,64.0,0.28125,241.5,42.2,91.8,0.45899999999999996,1.4,4.8,0.295,40.7,87.0,0.46799999999999997,25.1,33.2,0.7559999999999999,15.9,30.1,46.0,24.3,7.5,3.6,17.2,24.1,110.9,26.5,21,61,-8.91,0.19,-8.73,105.8,114.3,104.1,0.36200000000000004,0.052000000000000005,0.521,0.467,13.9,33.7,0.27399999999999997,0.467,13.9,67.8,0.27399999999999997,Orlando Arena,617468,2.0
1990,14,Los Angeles Lakers,1.0,0.0,82,63.0,19.0,3.3157894736842106,242.1,41.9,85.5,0.49,3.8,10.3,0.36700000000000005,38.1,75.2,0.507,23.2,29.5,0.787,13.4,30.0,43.4,27.2,8.0,5.4,15.0,21.2,110.7,28.9,58,24,6.78,-0.04,6.74,114.0,107.0,96.3,0.345,0.12,0.562,0.512,13.2,32.8,0.271,0.512,13.2,68.5,0.271,Great Western Forum,712498,0.0
1990,23,Philadelphia 76ers,0.0,0.0,82,53.0,29.0,1.8275862068965518,241.5,41.9,85.7,0.489,2.3,6.6,0.348,39.6,79.1,0.501,24.1,30.6,0.7879999999999999,13.5,29.3,42.9,23.6,8.4,4.5,14.7,20.7,110.2,27.4,54,28,4.99,-0.75,4.23,113.5,108.4,96.5,0.35700000000000004,0.077,0.556,0.502,12.9,32.0,0.281,0.502,12.9,68.4,0.281,The Spectrum,565926,0.0
1990,2,Boston Celtics,0.0,0.0,82,52.0,30.0,1.7333333333333334,240.3,43.5,87.2,0.498,1.3,4.9,0.262,42.2,82.2,0.513,21.8,26.3,0.8320000000000001,13.0,33.0,46.0,29.5,6.6,5.5,15.3,20.9,110.0,30.2,51,31,3.99,-0.76,3.23,112.0,107.9,98.2,0.301,0.057,0.557,0.506,13.4,31.5,0.251,0.506,13.4,72.1,0.251,Boston Garden,611537,0.0
1990,5,Chicago Bulls,0.0,1.0,82,55.0,27.0,2.037037037037037,241.8,43.1,86.5,0.498,3.0,8.2,0.374,40.0,78.3,0.511,20.3,26.1,0.778,13.1,27.8,40.9,26.5,9.9,4.7,15.2,23.2,109.5,26.1,50,32,3.26,-0.51,2.74,112.3,109.0,96.7,0.302,0.094,0.5589999999999999,0.516,13.4,31.9,0.235,0.516,13.4,68.1,0.235,Chicago Stadium,752564,0.0
1990,12,Indiana Pacers,0.0,0.0,82,42.0,40.0,1.05,242.4,41.2,83.0,0.49700000000000005,3.6,9.4,0.382,37.6,73.6,0.511,23.2,28.5,0.816,11.5,29.1,40.6,24.7,6.7,4.3,16.4,24.0,109.3,26.4,41,41,0.16,-0.34,-0.18,111.5,111.4,97.0,0.34299999999999997,0.113,0.5720000000000001,0.518,14.6,29.0,0.28,0.518,14.6,67.1,0.28,Market Square Arena,518923,1.0
