Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Standings_Bucket
1988,8,Denver Nuggets,1.0,0.0,82,54.0,28.0,1.9285714285714286,241.2,46.0,97.1,0.474,2.3,6.9,0.342,43.6,90.2,0.484,22.5,27.9,0.804,14.2,29.8,44.0,28.0,10.1,4.9,14.5,24.2,116.7,28.7,51,31,4.07,-0.75,3.32,110.1,106.3,105.5,0.28800000000000003,0.071,0.534,0.486,11.7,29.7,0.231,0.486,11.7,67.4,0.231,McNichols Sports Arena,520881,0.0
1988,25,Portland Trail Blazers,1.0,0.0,82,53.0,29.0,1.8275862068965518,240.6,44.6,91.0,0.491,1.4,4.6,0.308,43.2,86.3,0.501,25.4,32.9,0.77,15.3,30.4,45.6,28.1,8.9,4.2,16.5,25.5,116.1,27.1,52,30,4.52,-0.94,3.59,111.8,107.4,103.6,0.36200000000000004,0.051,0.55,0.499,13.5,34.3,0.27899999999999997,0.499,13.5,68.4,0.27899999999999997,Memorial Coliseum,519306,0.0
1988,2,Boston Celtics,0.0,1.0,82,57.0,25.0,2.28,241.2,43.9,84.2,0.521,3.3,8.6,0.384,40.6,75.6,0.537,22.5,28.0,0.8029999999999999,11.3,29.8,41.1,29.9,7.6,5.1,15.9,22.0,113.6,29.8,56,26,5.94,0.22,6.15,115.4,109.4,97.9,0.33299999999999996,0.102,0.588,0.541,14.1,29.8,0.267,0.541,14.1,68.5,0.267,Boston Garden,611231,0.0
1988,27,San Antonio Spurs,1.0,0.0,82,31.0,51.0,0.6078431372549019,241.5,45.2,92.2,0.49,1.6,5.0,0.32299999999999995,43.6,87.2,0.5,21.6,29.4,0.733,14.4,28.5,42.9,28.6,9.0,5.7,17.3,24.3,113.6,26.2,29,53,-4.88,-0.14,-5.02,108.2,112.8,104.4,0.319,0.055,0.54,0.499,14.1,32.0,0.23399999999999999,0.499,14.1,64.4,0.23399999999999999,HemisFair Arena,334354,1.0
1988,14,Los Angeles Lakers,1.0,1.0,82,62.0,20.0,3.1,241.5,43.6,86.3,0.505,1.7,5.8,0.297,41.9,80.5,0.52,23.9,30.2,0.789,13.1,30.4,43.5,28.6,8.2,4.9,16.1,20.9,112.8,28.9,56,26,5.84,-1.03,4.81,113.1,107.3,99.1,0.35,0.068,0.5660000000000001,0.515,13.9,32.3,0.276,0.515,13.9,67.9,0.276,The Forum,708477,0.0
1988,21,Seattle SuperSonics,1.0,0.0,82,44.0,38.0,1.1578947368421053,242.1,43.2,90.8,0.47600000000000003,2.7,7.8,0.34600000000000003,40.5,83.0,0.488,22.3,29.8,0.748,16.0,28.2,44.2,26.2,9.5,5.5,16.8,29.0,111.4,25.6,46,36,2.06,-0.77,1.29,110.2,108.1,100.2,0.32799999999999996,0.086,0.536,0.491,13.9,36.3,0.245,0.491,13.9,67.2,0.245,Seattle Center Coliseum,475983,1.0
1988,7,Dallas Mavericks,1.0,1.0,82,53.0,29.0,1.8275862068965518,240.9,41.6,87.7,0.475,1.9,6.4,0.293,39.7,81.3,0.489,24.1,30.6,0.789,16.4,30.4,46.8,24.2,7.9,5.4,15.3,21.1,109.3,27.0,52,30,4.37,-0.77,3.59,112.2,107.7,97.0,0.349,0.073,0.54,0.485,13.2,37.5,0.275,0.485,13.2,67.5,0.275,Reunion Arena,695592,0.0
1988,9,Detroit Pistons,0.0,1.0,82,54.0,28.0,1.9285714285714286,241.2,42.2,85.6,0.493,0.7,2.5,0.287,41.5,83.1,0.499,24.1,31.9,0.757,14.4,30.3,44.7,24.5,7.2,4.8,16.4,23.9,109.2,27.4,54,28,5.17,0.29,5.46,110.5,105.3,98.3,0.37200000000000005,0.028999999999999998,0.5479999999999999,0.49700000000000005,14.2,34.2,0.282,0.49700000000000005,14.2,68.5,0.282,Pontiac Silverdome,1066505,0.0
1988,11,Houston Rockets,1.0,0.0,82,46.0,36.0,1.2777777777777777,240.0,42.3,89.7,0.47100000000000003,0.8,3.5,0.237,41.4,86.1,0.48100000000000004,23.6,30.3,0.78,15.1,30.9,46.0,23.6,8.7,6.1,16.7,22.7,109.0,27.7,45,37,1.39,-0.57,0.82,107.1,105.7,101.8,0.33799999999999997,0.04,0.529,0.47600000000000003,13.9,33.1,0.263,0.47600000000000003,13.9,66.7,0.263,The Summit,681051,1.0
1988,24,Phoenix Suns,1.0,0.0,82,28.0,54.0,0.5185185185185185,240.6,43.3,89.0,0.486,1.4,4.4,0.331,41.9,84.7,0.494,20.5,26.8,0.764,13.6,29.0,42.6,28.4,8.2,4.3,17.2,24.9,108.5,27.5,30,52,-4.48,-0.33,-4.8,107.0,111.4,101.2,0.301,0.049,0.5379999999999999,0.494,14.6,31.5,0.23,0.494,14.6,68.3,0.23,Arizona Veterans Memorial Coliseum,452354,2.0
