Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Standings_Bucket
1989,24,Phoenix Suns,1.0,1.0,82,55.0,27.0,2.037037037037037,240.9,45.8,92.0,0.498,2.0,5.9,0.349,43.7,86.1,0.508,25.0,31.6,0.7909999999999999,13.4,31.9,45.3,27.8,8.5,5.1,15.6,23.6,118.6,25.7,59,23,7.7,-0.86,6.84,113.1,105.7,104.5,0.344,0.064,0.56,0.509,12.8,30.8,0.272,0.509,12.8,67.7,0.272,Arizona Veterans Memorial Coliseum,447061,0.0
1989,8,Denver Nuggets,1.0,0.0,82,44.0,38.0,1.1578947368421053,242.4,46.5,99.3,0.46799999999999997,2.8,8.2,0.337,43.7,91.0,0.48,22.2,28.2,0.787,14.7,30.6,45.4,27.8,9.9,5.3,14.9,25.5,118.0,29.8,45,37,1.7,-0.78,0.91,108.6,107.1,107.5,0.284,0.083,0.528,0.48200000000000004,11.8,29.6,0.22399999999999998,0.48200000000000004,11.8,68.9,0.22399999999999998,McNichols Sports Arena,527337,1.0
1989,20,New York Knicks,0.0,0.0,82,52.0,30.0,1.7333333333333334,241.5,45.1,92.8,0.486,4.7,14.0,0.337,40.4,78.8,0.513,21.7,28.9,0.752,16.1,27.6,43.7,25.4,11.0,5.4,19.2,25.0,116.7,25.3,50,32,3.77,-0.15,3.62,111.1,107.5,104.4,0.311,0.151,0.5529999999999999,0.512,15.4,36.2,0.23399999999999999,0.512,15.4,65.1,0.23399999999999999,Madison Square Garden (IV),746851,0.0
1989,10,Golden State Warriors,1.0,0.0,82,43.0,39.0,1.1025641025641026,242.7,45.5,97.3,0.46799999999999997,2.4,7.7,0.308,43.1,89.6,0.48100000000000004,23.2,29.1,0.799,16.1,31.2,47.4,24.5,10.1,7.8,18.1,23.7,116.6,26.0,40,42,-0.3,-0.29,-0.59,107.4,107.7,107.3,0.299,0.079,0.529,0.48,14.2,33.4,0.239,0.48,14.2,64.1,0.239,Oakland-Alameda County Coliseum Arena,587820,1.0
1989,14,Los Angeles Lakers,1.0,1.0,82,57.0,25.0,2.28,241.5,43.7,87.1,0.502,2.8,8.1,0.34,40.9,79.0,0.518,24.5,30.6,0.802,13.3,31.9,45.2,27.8,8.8,5.1,16.4,20.4,114.7,29.5,58,24,7.17,-0.79,6.38,113.8,106.7,100.1,0.35100000000000003,0.09300000000000001,0.57,0.518,14.0,33.0,0.282,0.518,14.0,68.9,0.282,Great Western Forum,717349,0.0
1989,25,Portland Trail Blazers,1.0,0.0,82,39.0,43.0,0.9069767441860465,241.8,45.1,95.1,0.474,2.6,7.9,0.335,42.4,87.2,0.48700000000000004,21.8,29.5,0.74,16.9,29.0,45.9,27.0,10.1,4.7,17.5,24.7,114.6,26.9,45,37,1.46,-0.55,0.92,109.4,108.0,103.9,0.31,0.083,0.53,0.488,13.9,36.7,0.23,0.488,13.9,67.4,0.23,Memorial Coliseum,527008,1.0
1989,21,Seattle SuperSonics,1.0,0.0,82,47.0,35.0,1.3428571428571427,241.2,43.5,91.2,0.47700000000000004,3.6,9.4,0.379,39.9,81.8,0.488,21.6,29.0,0.746,17.0,27.3,44.3,25.4,10.5,6.0,17.1,24.7,112.1,26.3,48,34,2.9,-0.46,2.44,111.5,108.6,100.1,0.318,0.10400000000000001,0.539,0.496,14.1,38.3,0.237,0.496,14.1,65.3,0.237,Seattle Center Coliseum,456765,0.0
1989,23,Philadelphia 76ers,0.0,0.0,82,46.0,36.0,1.2777777777777777,241.2,42.7,87.8,0.486,2.5,7.9,0.316,40.2,79.9,0.503,24.0,30.5,0.787,13.9,28.7,42.7,25.7,8.4,4.3,14.8,21.0,111.9,27.0,45,37,1.5,0.18,1.68,113.0,111.5,98.5,0.348,0.09,0.552,0.5,12.8,32.2,0.27399999999999997,0.5,12.8,67.2,0.27399999999999997,The Spectrum,531715,1.0
1989,1,Atlanta Hawks,0.0,0.0,82,52.0,30.0,1.7333333333333334,241.5,41.6,88.2,0.47200000000000003,1.3,4.8,0.27699999999999997,40.3,83.3,0.483,26.4,33.0,0.8,16.7,28.2,45.0,24.3,10.0,5.8,16.0,22.9,111.0,28.5,54,28,4.91,0.35,5.26,112.2,107.2,98.3,0.375,0.055,0.54,0.48,13.5,37.1,0.3,0.48,13.5,64.7,0.3,Omni Coliseum,644291,0.0
1989,2,Boston Celtics,0.0,0.0,82,42.0,40.0,1.05,241.2,42.9,87.1,0.493,1.0,3.8,0.252,42.0,83.3,0.504,22.4,28.6,0.7829999999999999,14.4,29.8,44.2,26.7,7.8,5.1,16.3,22.9,109.2,28.5,44,38,1.16,0.1,1.26,110.8,109.6,98.1,0.32899999999999996,0.043,0.5479999999999999,0.498,14.0,34.7,0.258,0.498,14.0,70.0,0.258,Boston Garden,611537,1.0
1989,17,Milwaukee Bucks,0.0,0.0,82,49.0,33.0,1.4848484848484849,240.9,41.5,87.4,0.474,2.2,6.9,0.316,39.3,80.5,0.488,23.8,29.0,0.821,13.8,27.7,41.5,25.3,10.0,3.9,15.9,23.8,108.9,28.5,50,32,3.61,0.5,4.11,110.1,106.4,98.6,0.332,0.079,0.544,0.48700000000000004,13.7,32.7,0.273,0.48700000000000004,13.7,67.5,0.273,Bradley Center,700984,1.0
1989,6,Cleveland Cavaliers,0.0,0.0,82,57.0,25.0,2.28,240.9,42.3,84.2,0.502,2.1,5.8,0.359,40.2,78.4,0.513,22.2,29.7,0.747,12.6,30.2,42.8,27.6,9.6,7.1,16.1,19.4,108.8,26.1,60,22,7.6,0.35,7.95,110.6,102.9,98.0,0.353,0.069,0.5589999999999999,0.514,14.2,31.2,0.264,0.514,14.2,67.1,0.264,Coliseum at Richfield,721426,0.0
1989,11,Houston Rockets,1.0,0.0,82,45.0,37.0,1.2162162162162162,242.1,41.6,87.8,0.474,2.0,6.4,0.314,39.6,81.4,0.48700000000000004,23.3,30.8,0.755,14.8,31.1,45.9,24.6,9.6,6.1,19.1,24.7,108.5,26.8,44,38,0.95,-0.73,0.22,105.7,104.8,101.8,0.35100000000000003,0.073,0.535,0.486,15.9,33.3,0.265,0.486,15.9,69.0,0.265,The Summit,680728,1.0
1989,30,Washington Bullets,0.0,0.0,82,40.0,42.0,0.9523809523809523,242.1,42.9,92.6,0.46399999999999997,0.6,3.0,0.214,42.3,89.6,0.47200000000000003,21.8,28.3,0.772,15.3,28.7,44.0,25.0,8.5,4.0,15.7,25.0,108.3,26.2,35,47,-2.16,0.39,-1.77,106.4,108.5,100.8,0.305,0.032,0.516,0.467,13.0,33.1,0.23600000000000002,0.467,13.0,67.5,0.23600000000000002,Capital Centre,253980,2.0
1989,12,Indiana Pacers,0.0,0.0,82,28.0,54.0,0.5185185185185185,242.1,41.3,84.7,0.48700000000000004,2.5,7.5,0.32799999999999996,38.8,77.2,0.503,21.9,27.7,0.789,13.0,30.5,43.4,24.5,6.9,5.1,18.9,25.7,106.9,25.2,30,52,-4.17,1.17,-3.0,106.8,111.0,99.2,0.32799999999999996,0.08900000000000001,0.552,0.502,16.3,31.5,0.258,0.502,16.3,66.0,0.258,Market Square Arena,335298,2.0
1989,9,Detroit Pistons,0.0,1.0,82,63.0,19.0,3.3157894736842106,241.8,41.4,83.9,0.494,1.5,4.9,0.3,39.9,79.0,0.505,22.3,29.0,0.769,14.1,31.0,45.1,24.7,6.4,5.0,16.3,23.6,106.6,28.6,56,26,5.8,0.44,6.24,110.8,104.7,95.5,0.34600000000000003,0.057999999999999996,0.551,0.502,14.4,34.5,0.266,0.502,14.4,69.2,0.266,The Palace of Auburn Hills,879405,0.0
1989,5,Chicago Bulls,0.0,1.0,82,47.0,35.0,1.3428571428571427,241.2,42.0,85.0,0.495,2.1,6.5,0.32799999999999996,39.9,78.5,0.509,20.2,25.7,0.7859999999999999,12.4,29.9,42.3,27.0,8.8,4.6,16.2,22.6,106.4,26.4,45,37,1.44,0.69,2.13,109.1,107.7,97.0,0.302,0.076,0.5529999999999999,0.507,14.4,30.7,0.23800000000000002,0.507,14.4,69.5,0.23800000000000002,Chicago Stadium,736962,1.0
1989,13,Los Angeles Clippers,1.0,0.0,82,21.0,61.0,0.3442622950819672,242.1,43.0,90.6,0.475,0.7,2.9,0.231,42.3,87.7,0.483,19.6,27.1,0.723,14.1,29.1,43.2,26.9,9.9,6.5,20.3,23.6,106.2,24.6,18,64,-9.91,0.41,-9.5,100.8,110.2,104.4,0.299,0.032,0.518,0.478,16.5,31.2,0.21600000000000003,0.478,16.5,64.0,0.21600000000000003,Los Angeles Memorial Sports Arena,286614,2.0
1989,27,San Antonio Spurs,1.0,0.0,82,21.0,61.0,0.3442622950819672,240.9,42.3,90.4,0.46799999999999997,0.8,3.6,0.215,41.5,86.8,0.479,20.1,28.9,0.698,15.8,26.6,42.4,24.8,11.7,5.2,20.9,26.3,105.5,25.6,23,59,-7.28,-0.17,-7.45,100.9,107.9,104.1,0.319,0.04,0.512,0.47200000000000003,16.8,34.5,0.223,0.47200000000000003,16.8,63.5,0.223,HemisFair Arena,323573,2.0
1989,26,Sacramento Kings,1.0,0.0,82,27.0,55.0,0.4909090909090909,241.2,41.0,89.6,0.457,3.7,10.0,0.373,37.3,79.6,0.46799999999999997,19.8,25.7,0.77,13.9,29.9,43.8,24.0,7.6,5.0,16.7,22.9,105.5,25.2,27,55,-5.55,0.2,-5.35,104.5,110.0,100.5,0.28600000000000003,0.11199999999999999,0.523,0.478,14.2,30.5,0.22,0.478,14.2,67.7,0.22,ARCO Arena (II),677197,2.0
1989,29,Utah Jazz,1.0,0.0,82,51.0,31.0,1.6451612903225807,240.6,38.8,80.4,0.48200000000000004,1.4,4.6,0.3,37.4,75.8,0.494,25.7,33.4,0.77,12.8,31.8,44.6,25.7,8.8,7.1,18.7,23.1,104.7,27.4,55,27,5.02,-1.01,4.01,106.6,101.5,98.0,0.41600000000000004,0.057999999999999996,0.55,0.491,16.4,32.0,0.32,0.491,16.4,68.1,0.32,Salt Palace,509501,0.0
1989,19,Charlotte Hornets,0.0,0.0,82,20.0,62.0,0.3225806451612903,241.2,41.8,90.6,0.461,1.6,5.2,0.312,40.1,85.4,0.47,19.3,25.1,0.767,13.9,26.8,40.7,28.3,8.6,3.2,16.1,25.2,104.5,27.2,21,61,-8.52,0.79,-7.74,103.7,112.1,100.3,0.27699999999999997,0.057999999999999996,0.514,0.47,13.7,30.3,0.213,0.47,13.7,64.9,0.213,Charlotte Coliseum,949858,2.0
1989,3,New Jersey Nets,0.0,0.0,82,26.0,56.0,0.4642857142857143,241.5,40.6,88.1,0.461,2.3,6.9,0.32899999999999996,38.4,81.2,0.473,20.2,27.6,0.731,14.7,29.5,44.2,21.9,9.4,5.3,17.7,24.0,103.7,26.8,25,57,-6.35,0.66,-5.69,103.0,109.3,100.1,0.313,0.079,0.517,0.474,15.0,32.7,0.22899999999999998,0.474,15.0,70.1,0.22899999999999998,Brendan Byrne Arena,378397,2.0
1989,7,Dallas Mavericks,1.0,0.0,82,38.0,44.0,0.8636363636363636,241.2,39.6,84.4,0.469,2.6,8.3,0.31,37.0,76.0,0.486,21.8,27.6,0.789,12.8,29.2,42.0,22.8,7.1,5.8,15.0,21.2,103.5,28.5,38,44,-1.21,-0.59,-1.79,107.4,108.6,95.9,0.327,0.098,0.536,0.484,13.5,29.5,0.258,0.484,13.5,66.1,0.258,Reunion Arena,695056,2.0
1989,16,Miami Heat,1.0,0.0,82,15.0,67.0,0.22388059701492538,242.1,39.3,86.8,0.45299999999999996,1.2,3.6,0.326,38.1,83.1,0.45799999999999996,18.0,25.6,0.7020000000000001,16.0,27.0,42.9,23.9,9.1,5.0,21.1,25.9,97.8,25.2,15,67,-11.23,0.1,-11.13,97.8,109.0,99.1,0.29600000000000004,0.042,0.498,0.45899999999999996,17.7,35.6,0.20800000000000002,0.45899999999999996,17.7,65.0,0.20800000000000002,Miami Arena,612754,2.0
1989,31,League Average,,,82,,,,241.5,42.5,89.0,0.47700000000000004,2.1,6.6,0.32299999999999995,40.4,82.4,0.49,22.1,28.8,0.768,14.5,29.4,43.9,25.6,9.1,5.3,17.2,23.7,109.2,26.9,41,41,0.0,0.0,0.0,107.8,107.8,100.6,0.324,0.07400000000000001,0.537,0.489,14.5,33.0,0.249,0.489,14.5,67.0,0.249,,581579,
