Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Standings_Bucket
2005,24,Phoenix Suns,1.0,1.0,82,62.0,20.0,3.1,241.2,40.9,85.6,0.47700000000000004,9.7,24.7,0.39299999999999996,31.2,60.9,0.512,19.0,25.4,0.748,11.8,32.3,44.1,23.5,7.0,5.5,13.7,19.1,110.4,25.2,59,23,7.12,-0.04,7.08,114.5,107.1,95.9,0.29600000000000004,0.289,0.5710000000000001,0.534,12.4,27.5,0.222,0.534,12.4,68.3,0.222,America West Arena,726066,0.0
2005,26,Sacramento Kings,1.0,0.0,82,50.0,32.0,1.5625,242.1,39.1,85.1,0.45899999999999996,6.4,17.0,0.374,32.7,68.1,0.48,19.2,24.4,0.787,12.5,29.9,42.4,24.5,8.2,3.9,13.1,20.5,103.7,27.7,47,35,2.16,0.4,2.56,110.5,108.2,93.0,0.287,0.2,0.541,0.496,12.0,28.8,0.226,0.496,12.0,69.0,0.226,ARCO Arena (II),709997,1.0
2005,7,Dallas Mavericks,1.0,0.0,82,58.0,24.0,2.4166666666666665,240.6,37.3,81.6,0.457,5.6,15.5,0.364,31.6,66.1,0.479,22.3,28.2,0.789,12.1,30.9,42.9,19.6,8.6,5.6,13.4,22.3,102.5,27.7,57,25,5.74,0.11,5.86,110.3,104.1,92.7,0.34600000000000003,0.19,0.545,0.49200000000000005,12.5,28.6,0.273,0.49200000000000005,12.5,70.2,0.273,American Airlines Center,822533,0.0
2005,16,Miami Heat,0.0,1.0,82,59.0,23.0,2.5652173913043477,243.7,37.8,77.7,0.486,5.8,15.4,0.377,32.0,62.3,0.513,20.2,30.1,0.672,10.8,32.2,43.0,21.8,6.4,5.8,13.7,22.1,101.5,28.0,59,23,6.52,-0.76,5.77,110.2,103.1,90.8,0.387,0.198,0.5589999999999999,0.524,13.1,27.0,0.26,0.524,13.1,74.1,0.26,AmericanAirlines Arena,815143,0.0
2005,2,Boston Celtics,0.0,0.0,82,45.0,37.0,1.2162162162162162,242.4,37.1,79.4,0.46799999999999997,5.3,15.3,0.349,31.8,64.1,0.496,21.6,28.3,0.764,11.1,29.7,40.8,22.1,8.1,5.2,15.8,24.4,101.3,27.1,43,39,0.87,-0.52,0.35,107.5,106.6,93.3,0.35700000000000004,0.192,0.551,0.501,14.7,27.2,0.273,0.501,14.7,70.1,0.273,FleetCenter,656081,0.0
2005,30,Washington Wizards,0.0,0.0,82,45.0,37.0,1.2162162162162162,241.2,36.2,82.9,0.43700000000000006,6.3,18.3,0.34299999999999997,29.9,64.6,0.46299999999999997,21.9,30.2,0.725,13.8,29.0,42.8,19.1,8.7,4.2,14.3,22.0,100.5,25.3,40,42,-0.33,-0.38,-0.71,107.2,107.5,93.3,0.364,0.22,0.523,0.474,12.9,31.1,0.264,0.474,12.9,70.0,0.264,MCI Center,705069,1.0
2005,28,Toronto Raptors,0.0,0.0,82,33.0,49.0,0.673469387755102,241.5,36.0,81.2,0.444,7.9,20.5,0.385,28.1,60.7,0.46299999999999997,19.8,25.6,0.774,10.3,29.8,40.1,20.4,7.6,3.9,13.3,22.9,99.7,27.0,36,46,-1.62,-0.19,-1.81,106.9,108.7,92.7,0.316,0.253,0.539,0.49200000000000005,12.5,23.7,0.244,0.49200000000000005,12.5,71.1,0.244,Air Canada Centre,703388,2.0
2005,8,Denver Nuggets,1.0,0.0,82,49.0,33.0,1.4848484848484849,240.9,37.0,80.7,0.45899999999999996,3.9,11.5,0.34,33.1,69.2,0.479,21.5,28.2,0.763,11.8,30.2,42.0,23.9,9.1,6.0,14.9,22.9,99.5,26.7,47,35,2.02,0.2,2.23,106.0,103.9,93.5,0.35,0.142,0.535,0.483,13.8,28.4,0.267,0.483,13.8,71.7,0.267,Pepsi Center,723949,1.0
2005,22,Orlando Magic,0.0,0.0,82,36.0,46.0,0.782608695652174,240.3,37.0,81.5,0.45399999999999996,3.9,11.2,0.349,33.1,70.3,0.47100000000000003,21.6,28.5,0.759,12.7,31.0,43.7,19.3,7.7,5.4,16.1,23.6,99.5,26.5,35,47,-2.24,-0.27,-2.52,104.9,107.3,94.7,0.35,0.13699999999999998,0.529,0.478,14.6,29.9,0.265,0.478,14.6,71.3,0.265,TD Waterhouse Centre,597942,2.0
2005,23,Philadelphia 76ers,0.0,0.0,82,43.0,39.0,1.1025641025641026,242.1,35.9,82.1,0.43700000000000006,6.2,17.7,0.348,29.8,64.4,0.462,21.1,26.8,0.789,11.1,30.9,42.0,20.9,9.2,3.9,15.5,22.9,99.1,26.4,39,43,-0.74,-0.33,-1.07,103.5,104.3,94.9,0.326,0.21600000000000003,0.528,0.475,14.2,25.4,0.257,0.475,14.2,72.7,0.257,Wachovia Center,732686,1.0
2005,21,Seattle SuperSonics,1.0,0.0,82,52.0,30.0,1.7333333333333334,240.9,35.1,79.2,0.444,8.1,22.2,0.365,27.0,57.0,0.474,20.5,26.0,0.79,12.7,28.2,40.9,18.1,6.7,4.1,13.6,23.7,98.9,26.0,48,34,2.29,0.3,2.59,112.2,109.6,87.9,0.32799999999999996,0.281,0.546,0.495,13.0,32.4,0.259,0.495,13.0,71.3,0.259,KeyArena at Seattle Center,675490,0.0
2005,14,Los Angeles Lakers,1.0,0.0,82,34.0,48.0,0.7083333333333334,241.2,35.3,80.8,0.43700000000000006,7.9,22.1,0.355,27.5,58.7,0.467,20.3,26.1,0.777,12.5,30.6,43.2,20.4,6.2,4.2,14.3,21.9,98.7,26.0,33,49,-2.96,0.64,-2.32,108.1,111.4,90.8,0.322,0.273,0.535,0.485,13.4,29.5,0.251,0.485,13.4,71.1,0.251,STAPLES Center,770494,2.0
