Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Standings_Bucket
2007,24,Phoenix Suns,1.0,0.0,82,61.0,21.0,2.9047619047619047,242.7,41.3,83.6,0.494,9.6,24.0,0.39899999999999997,31.7,59.6,0.532,18.0,22.3,0.8079999999999999,9.0,31.5,40.5,25.9,6.7,4.8,14.5,20.2,110.2,27.6,59,23,7.3,-0.03,7.28,113.9,106.4,95.6,0.267,0.287,0.59,0.551,13.4,22.7,0.215,0.551,13.4,71.9,0.215,US Airways Center,755302,0.0
2007,10,Golden State Warriors,1.0,0.0,82,42.0,40.0,1.05,240.9,39.8,86.0,0.46299999999999997,8.5,24.0,0.35600000000000004,31.2,62.0,0.504,18.5,25.8,0.7170000000000001,11.5,30.0,41.4,23.8,9.1,5.7,16.0,23.6,106.5,24.6,40,42,-0.34,0.34,0.0,107.0,107.4,99.2,0.3,0.27899999999999997,0.5479999999999999,0.512,14.1,25.6,0.215,0.512,14.1,69.6,0.215,Oracle Arena,742267,1.0
2007,8,Denver Nuggets,1.0,0.0,82,45.0,37.0,1.2162162162162162,241.2,38.6,83.0,0.465,5.9,17.6,0.336,32.7,65.4,0.5,22.3,29.9,0.746,12.2,31.2,43.4,23.4,8.3,5.3,16.5,21.4,105.4,26.5,45,37,1.62,0.07,1.69,107.6,105.9,97.4,0.36,0.212,0.5479999999999999,0.501,14.6,28.9,0.268,0.501,14.6,71.8,0.268,Pepsi Center,706437,1.0
2007,30,Washington Wizards,0.0,0.0,82,41.0,41.0,1.0,241.8,37.4,83.2,0.45,6.8,19.7,0.348,30.6,63.5,0.48200000000000004,22.6,29.6,0.765,12.2,29.0,41.2,20.2,7.7,4.6,13.8,22.2,104.3,26.8,40,42,-0.51,-0.28,-0.8,110.1,110.6,94.1,0.35600000000000004,0.237,0.542,0.491,12.6,28.1,0.272,0.491,12.6,71.0,0.272,Verizon Center,753283,1.0
2007,14,Los Angeles Lakers,1.0,0.0,82,42.0,40.0,1.05,244.3,37.8,81.3,0.466,7.4,21.0,0.353,30.4,60.2,0.505,20.2,27.1,0.747,10.8,30.4,41.2,22.6,7.3,5.1,15.5,23.0,103.3,25.3,41,41,-0.07,0.32,0.24,108.6,108.6,93.5,0.33299999999999996,0.259,0.5539999999999999,0.511,14.3,26.1,0.249,0.511,14.3,72.3,0.249,STAPLES Center,778415,1.0
2007,15,Memphis Grizzlies,1.0,0.0,82,22.0,60.0,0.36666666666666664,243.7,36.6,78.6,0.465,6.1,16.6,0.36700000000000005,30.5,62.0,0.491,22.4,29.4,0.7609999999999999,10.6,29.0,39.5,20.5,6.9,5.0,16.4,22.3,101.6,26.2,27,55,-5.15,0.71,-4.44,106.9,112.3,93.6,0.374,0.21100000000000002,0.555,0.504,15.2,25.9,0.285,0.504,15.2,71.1,0.285,FedEx Forum,600836,2.0
2007,29,Utah Jazz,1.0,1.0,82,51.0,31.0,1.6451612903225807,241.5,37.4,78.9,0.474,4.3,12.9,0.335,33.1,66.0,0.501,22.3,30.0,0.743,12.6,30.0,42.5,24.7,7.0,4.1,15.6,25.2,101.5,25.9,49,33,2.87,0.2,3.06,110.1,107.0,91.6,0.38,0.163,0.551,0.502,14.5,31.7,0.28300000000000003,0.502,14.5,75.1,0.28300000000000003,EnergySolutions Arena,802214,0.0
2007,26,Sacramento Kings,1.0,0.0,82,33.0,49.0,0.673469387755102,241.5,35.9,79.7,0.45,6.5,18.5,0.35,29.4,61.2,0.48,23.1,30.2,0.765,9.7,29.2,38.9,20.3,8.2,3.2,14.6,21.9,101.3,27.3,36,46,-1.8,0.46,-1.35,106.2,108.0,94.8,0.379,0.23199999999999998,0.545,0.491,13.5,23.1,0.289,0.491,13.5,72.5,0.289,ARCO Arena (II),709997,2.0
2007,7,Dallas Mavericks,1.0,0.0,82,67.0,15.0,4.466666666666667,240.9,36.7,78.6,0.467,6.5,17.1,0.381,30.2,61.4,0.491,20.1,24.9,0.805,11.2,30.7,41.9,19.9,6.8,5.0,13.9,22.4,100.0,28.1,61,21,7.22,0.06,7.28,111.3,103.2,89.5,0.317,0.218,0.5589999999999999,0.509,13.4,28.7,0.256,0.509,13.4,75.0,0.256,American Airlines Center,834411,0.0
2007,17,Milwaukee Bucks,0.0,0.0,82,28.0,54.0,0.5185185185185185,242.1,38.1,81.9,0.465,6.4,18.0,0.35600000000000004,31.7,63.9,0.495,17.1,23.4,0.733,11.5,27.7,39.2,21.6,7.2,2.7,15.1,22.2,99.7,26.0,29,53,-4.38,-0.06,-4.43,107.0,111.7,92.3,0.28600000000000003,0.21899999999999997,0.541,0.504,14.1,27.6,0.209,0.504,14.1,68.1,0.209,Bradley Center,663629,2.0
2007,28,Toronto Raptors,0.0,0.0,82,47.0,35.0,1.3428571428571427,240.9,37.0,79.8,0.46299999999999997,6.5,17.9,0.363,30.5,62.0,0.49200000000000005,19.0,24.2,0.7879999999999999,9.2,30.2,39.5,22.2,7.1,3.9,13.5,20.4,99.5,26.0,44,38,0.99,-0.38,0.61,107.0,106.0,92.6,0.303,0.22399999999999998,0.55,0.504,13.0,22.2,0.239,0.504,13.0,74.5,0.239,Air Canada Centre,748603,0.0
2007,21,Seattle SuperSonics,1.0,0.0,82,31.0,51.0,0.6078431372549019,241.8,37.2,80.8,0.46,6.4,17.7,0.36200000000000004,30.8,63.1,0.48700000000000004,18.4,23.3,0.7909999999999999,11.3,28.3,39.6,20.7,7.7,3.7,15.5,22.0,99.1,25.9,33,49,-2.89,0.45,-2.45,107.2,110.3,91.8,0.28800000000000003,0.21899999999999997,0.544,0.499,14.5,27.8,0.228,0.499,14.5,70.9,0.228,KeyArena at Seattle Center,654163,2.0
