Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Standings_Bucket
2013,8,Denver Nuggets,1.0,0,82,57.0,25.0,2.28,242.7,40.7,85.2,0.478,6.4,18.5,0.34299999999999997,34.4,66.6,0.516,18.4,26.2,0.701,13.3,31.7,45.0,24.4,9.3,6.5,15.3,20.5,106.1,26.1,55,27,5.09,0.28,5.37,110.4,105.1,95.1,0.308,0.217,0.5489999999999999,0.515,13.6,31.4,0.21600000000000003,0.515,13.6,71.8,0.21600000000000003,Pepsi Center,730616,0.0
2013,11,Houston Rockets,1.0,0,82,45.0,37.0,1.2162162162162162,241.2,38.1,82.7,0.461,10.6,28.9,0.366,27.5,53.8,0.511,19.2,25.5,0.754,11.1,32.3,43.4,23.2,8.3,4.4,16.4,20.3,106.0,24.4,50,32,3.48,0.22,3.69,109.7,106.1,96.1,0.308,0.349,0.564,0.525,14.9,26.4,0.23199999999999998,0.525,14.9,75.2,0.23199999999999998,Toyota Center,683564,1.0
2013,21,Oklahoma City Thunder,1.0,1,82,60.0,22.0,2.727272727272727,241.8,38.1,79.3,0.48100000000000004,7.3,19.4,0.377,30.8,60.0,0.514,22.2,26.8,0.828,10.4,33.2,43.6,21.4,8.3,7.6,15.3,20.2,105.7,26.0,64,18,9.21,-0.06,9.15,112.4,102.6,93.3,0.33799999999999997,0.244,0.58,0.527,14.4,26.7,0.28,0.527,14.4,73.4,0.28,Chesapeake Energy Arena,746323,0.0
2013,27,San Antonio Spurs,1.0,0,82,58.0,24.0,2.4166666666666665,242.4,39.1,81.4,0.48100000000000004,8.1,21.5,0.376,31.1,59.9,0.519,16.6,21.0,0.7909999999999999,8.1,33.2,41.3,25.1,8.5,5.4,14.7,17.4,103.0,28.6,58,24,6.4,0.27,6.67,108.3,101.6,94.2,0.258,0.264,0.568,0.531,14.0,20.5,0.204,0.531,14.0,74.9,0.204,AT&T Center,755700,0.0
2013,16,Miami Heat,0.0,1,82,66.0,16.0,4.125,242.4,38.4,77.4,0.496,8.7,22.1,0.396,29.6,55.4,0.536,17.4,23.0,0.754,8.2,30.4,38.6,23.0,8.7,5.4,13.9,18.7,102.9,30.3,62,20,7.87,-0.84,7.03,112.3,103.7,90.7,0.297,0.285,0.588,0.552,13.7,22.2,0.22399999999999998,0.552,13.7,73.0,0.22399999999999998,AmericanAirlines Arena,819290,0.0
2013,14,Los Angeles Lakers,1.0,1,82,45.0,37.0,1.2162162162162162,240.9,37.1,81.0,0.45799999999999996,8.7,24.6,0.355,28.4,56.4,0.503,19.3,27.9,0.6920000000000001,11.5,33.3,44.8,22.2,7.0,5.2,15.0,17.9,102.2,30.7,44,38,1.16,0.32,1.48,107.8,106.6,94.4,0.345,0.303,0.5479999999999999,0.512,13.9,27.0,0.239,0.512,13.9,74.3,0.239,STAPLES Center,778877,0.0
2013,10,Golden State Warriors,1.0,0,82,47.0,35.0,1.3428571428571427,241.5,38.2,83.4,0.45799999999999996,8.0,19.9,0.40299999999999997,30.1,63.5,0.475,16.8,21.3,0.79,10.8,34.2,45.0,22.5,6.9,4.2,15.1,21.4,101.2,25.3,44,38,0.89,0.42,1.32,106.4,105.5,94.5,0.255,0.239,0.545,0.506,14.0,25.4,0.201,0.506,14.0,75.5,0.201,Oracle Arena,794320,1.0
2013,7,Dallas Mavericks,1.0,0,82,41.0,41.0,1.0,243.7,38.8,84.0,0.462,7.4,19.9,0.37200000000000005,31.4,64.2,0.489,16.1,20.4,0.7929999999999999,9.4,32.6,41.9,23.2,7.9,5.5,14.0,20.7,101.1,29.5,39,43,-0.6,0.36,-0.24,105.9,106.5,94.1,0.242,0.23600000000000002,0.544,0.506,13.0,21.8,0.192,0.506,13.0,73.1,0.192,American Airlines Center,821490,2.0
2013,13,Los Angeles Clippers,1.0,0,82,56.0,26.0,2.1538461538461537,240.6,38.5,80.6,0.478,7.6,21.4,0.358,30.9,59.2,0.522,16.4,23.0,0.711,11.4,30.2,41.6,23.9,9.6,5.6,14.6,20.9,101.1,28.8,59,23,6.45,-0.02,6.43,110.6,103.6,91.1,0.28600000000000003,0.265,0.557,0.526,13.9,28.8,0.203,0.526,13.9,73.5,0.203,STAPLES Center,788293,1.0
2013,26,Sacramento Kings,1.0,0,82,28.0,54.0,0.5185185185185185,241.8,37.6,84.2,0.447,7.4,20.5,0.363,30.2,63.7,0.474,17.5,22.8,0.769,11.5,29.1,40.6,20.8,8.2,4.2,14.6,20.9,100.2,25.6,28,54,-4.88,0.62,-4.26,106.2,111.4,93.6,0.271,0.243,0.532,0.491,13.4,26.6,0.20800000000000002,0.491,13.4,71.0,0.20800000000000002,Sleep Train Arena,563743,2.0
