,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,San Antonio Spurs,29.8,63,19,61,21,6.82,-0.13,6.69,107.3,99.6,88.5,0.298,0.215,0.546,0.513,13.6,26,0.209,0.457,13.5,74.2,0.22,SBC Center,770677
2,Detroit Pistons,28.5,64,18,60,22,6.67,-0.44,6.24,110.8,103.1,86.8,0.297,0.221,0.535,0.497,11.2,28.9,0.216,0.477,13.7,71.2,0.191,The Palace of Auburn Hills,905116
3,Dallas Mavericks,27.5,60,22,58,24,6.07,-0.11,5.96,111.8,105,87.8,0.364,0.175,0.55,0.495,13.1,31.8,0.285,0.475,13.7,72.2,0.257,American Airlines Center,824693
4,Phoenix Suns,27.5,54,28,55,27,5.55,-0.07,5.48,111.5,105.8,95.8,0.206,0.293,0.568,0.537,12.2,22.1,0.166,0.49,13.2,72.1,0.2,America West Arena,730179
5,Memphis Grizzlies,28.1,49,33,52,30,3.7,0.05,3.74,105.9,101.6,86.3,0.339,0.258,0.537,0.496,13.9,25.8,0.241,0.469,14.7,72,0.237,FedEx Forum,647533
6,Miami Heat,29.2,52,30,52,30,3.87,-0.27,3.59,108.7,104.5,91.6,0.363,0.227,0.556,0.517,13.9,26.7,0.254,0.477,12.4,76.4,0.251,AmericanAirlines Arena,818149
7,Los Angeles Lakers,25.1,45,37,48,34,2.5,0.03,2.53,108.4,105.7,90.9,0.329,0.24,0.539,0.495,13.1,28.8,0.245,0.486,13.4,73.6,0.242,STAPLES Center,774189
8,Cleveland Cavaliers,27.1,50,32,48,34,2.23,-0.06,2.17,107.8,105.4,89.8,0.362,0.228,0.538,0.492,13.3,28.4,0.263,0.49,12.8,75.7,0.226,Gund Arena,792391
9,Los Angeles Clippers,26.8,47,35,46,36,1.57,0.18,1.75,105.3,103.6,91.7,0.332,0.131,0.54,0.487,13.8,25.4,0.263,0.471,12.2,75.9,0.24,STAPLES Center,712409
10,Indiana Pacers,27.3,41,41,47,35,1.89,-0.27,1.62,104.5,102.4,89.7,0.344,0.245,0.533,0.487,14.8,27.1,0.254,0.464,13,72.6,0.232,Conseco Fieldhouse,663368
11,Sacramento Kings,27.2,44,38,45,37,1.54,0.07,1.61,106.7,105,91.9,0.334,0.217,0.544,0.492,13.9,25.4,0.262,0.488,13.7,72.2,0.21,ARCO Arena (II),709997
12,Washington Wizards,26.5,42,40,46,36,1.85,-0.29,1.57,109.3,107.3,92.3,0.375,0.209,0.538,0.484,12.8,29.5,0.284,0.504,15.1,70.9,0.256,MCI Center,705062
13,New Jersey Nets,28.6,49,33,45,37,1.37,-0.26,1.11,103.9,102.4,89.8,0.346,0.229,0.528,0.478,13.3,24,0.262,0.476,14,76.3,0.266,Continental Airlines Arena,691543
14,Chicago Bulls,24.1,41,41,43,39,0.63,-0.12,0.51,104,103.4,92.9,0.292,0.219,0.527,0.487,13.9,26.3,0.216,0.464,13.9,74.7,0.295,United Center,868720
15,Denver Nuggets,27.4,44,38,42,40,0.23,0.13,0.36,105.5,105.2,93.9,0.347,0.161,0.535,0.488,13.7,26.8,0.258,0.493,14.7,72,0.227,Pepsi Center,702555
16,Milwaukee Bucks,25.5,40,42,38,44,-1.04,-0.04,-1.07,106.3,107.4,91.2,0.322,0.203,0.535,0.492,13.8,27.3,0.238,0.504,13.8,74.6,0.262,Bradley Center,681337
17,Golden State Warriors,25.6,34,48,37,45,-1.35,0.25,-1.11,104.8,106.2,93.3,0.323,0.27,0.521,0.479,13,26.9,0.232,0.492,14.1,71.6,0.243,Oakland Arena,749185
18,Orlando Magic,25.5,36,46,38,44,-1.07,-0.18,-1.26,106.3,107.5,88.3,0.369,0.129,0.543,0.496,14.7,28.5,0.27,0.49,13,72.5,0.264,TD Waterhouse Centre,638005
