Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,San Antonio Spurs,27.3,57,25,62,20,7.22,0.29,7.51,102.2,94.1,89.2,0.322,0.177,0.511,0.473,14.1,29.5,0.219,0.433,14.8,74.6,0.215,SBC Center,739706
2,Minnesota Timberwolves,29.7,58,24,57,25,5.49,0.37,5.86,105.9,99.7,89,0.265,0.137,0.528,0.486,12.4,26.7,0.207,0.444,12.9,72.5,0.215,Target Center,723071
3,Sacramento Kings,29.3,55,27,55,27,5.01,0.4,5.41,110.3,104.9,92.8,0.305,0.223,0.554,0.507,13,26,0.242,0.483,13.7,69.8,0.193,ARCO Arena (II),709997
4,Detroit Pistons,27.4,54,28,59,23,5.84,-0.81,5.04,102,95.4,87.9,0.328,0.153,0.511,0.461,14.7,30.1,0.247,0.441,15.5,71.8,0.202,The Palace of Auburn Hills,872902
5,Indiana Pacers,27.1,61,21,58,24,5.76,-0.82,4.93,103.8,97.2,87.5,0.319,0.203,0.52,0.471,14.1,28.5,0.243,0.459,15.7,73.9,0.218,Conseco Fieldhouse,678326
6,Dallas Mavericks,27.4,52,30,53,29,4.44,0.42,4.86,112.1,107.4,93.2,0.256,0.201,0.536,0.495,11.1,31.4,0.204,0.498,13.9,71.6,0.214,American Airlines Center,825594
7,Los Angeles Lakers,29.8,56,26,52,30,3.9,0.45,4.35,105.5,101.3,92.3,0.352,0.167,0.522,0.481,12.8,28.1,0.244,0.471,14.3,73.3,0.222,STAPLES Center,777757
8,Memphis Grizzlies,26,50,32,48,34,2.44,0.52,2.95,104.8,102.2,91.4,0.322,0.197,0.522,0.479,13.9,29.5,0.234,0.465,15.7,68.4,0.251,Pyramid Arena,622723
9,Houston Rockets,28.3,45,37,47,35,1.73,0.55,2.28,100.9,99,87.8,0.286,0.227,0.528,0.484,16.4,26.5,0.221,0.447,13.1,74.5,0.233,Toyota Center,640794
10,New Jersey Nets,27.7,47,35,49,33,2.5,-0.63,1.88,100.8,98,89.4,0.291,0.176,0.515,0.471,14.4,25.9,0.219,0.46,15.7,73.9,0.221,Continental Airlines Arena,613051
11,Denver Nuggets,25.6,43,39,44,38,1.07,0.58,1.65,103.9,102.7,93.3,0.319,0.146,0.517,0.467,14.2,30.5,0.245,0.481,15.6,69.3,0.221,Pepsi Center,721476
12,Milwaukee Bucks,26.5,41,41,44,38,1.06,-0.64,0.42,106.5,105.4,91.6,0.33,0.172,0.528,0.477,12.7,27.6,0.255,0.485,13.3,71.8,0.213,Bradley Center,690180
13,Seattle SuperSonics,26,37,45,39,43,-0.63,0.66,0.02,107.3,108,89.9,0.27,0.294,0.54,0.501,13.9,27.2,0.207,0.487,13.9,68.5,0.237,KeyArena at Seattle Center,625474
14,Golden State Warriors,28.1,37,45,39,43,-0.73,0.66,-0.07,103,103.8,89.8,0.311,0.197,0.517,0.475,14.1,28.4,0.226,0.476,13.3,72.1,0.211,The Arena in Oakland,665648
15,Miami Heat,26.4,42,40,43,39,0.52,-0.65,-0.13,102.2,101.7,88,0.298,0.211,0.51,0.463,13.5,27.4,0.227,0.463,14.5,73.4,0.26,AmericanAirlines Arena,624809
16,Utah Jazz,24.9,42,40,37,45,-1.22,0.69,-0.53,101.9,103.3,86.6,0.356,0.127,0.509,0.456,16.1,34.1,0.266,0.468,15.4,72.4,0.319,Delta Center,785330
