Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Chicago Bulls*,82,240.6,40.2,84.0,.478,6.6,16.5,.403,33.5,67.6,.496,18.2,24.4,.746,15.2,29.4,44.6,24.8,9.1,4.2,14.3,22.0,105.2
2,Seattle SuperSonics*,82,242.4,37.5,78.1,.480,7.1,19.5,.364,30.4,58.6,.519,22.5,29.6,.760,11.6,29.9,41.5,24.4,10.8,4.8,17.6,24.0,104.5
3,Orlando Magic*,82,242.1,39.1,81.0,.482,7.6,20.1,.378,31.5,60.9,.517,18.8,27.2,.691,11.8,29.3,41.1,25.4,8.1,5.0,14.1,20.8,104.5
4,Phoenix Suns*,82,243.4,38.5,81.4,.473,4.0,12.0,.332,34.5,69.4,.498,23.3,30.1,.771,12.3,30.5,42.8,24.4,7.6,4.0,14.7,21.7,104.3
5,Boston Celtics,82,242.7,38.6,84.7,.456,6.6,17.7,.371,32.0,66.9,.478,19.9,27.9,.714,12.8,29.6,42.4,21.9,8.0,5.0,15.9,24.9,103.6
6,San Antonio Spurs*,82,241.2,38.4,80.5,.477,6.3,16.1,.392,32.1,64.4,.498,20.3,27.6,.736,11.4,31.5,43.0,24.9,7.9,6.5,14.6,22.2,103.4
7,Los Angeles Lakers*,82,240.0,39.2,81.8,.480,5.8,16.6,.351,33.4,65.2,.512,18.6,25.0,.746,12.1,28.1,40.2,25.4,8.8,6.3,14.2,20.8,102.9
8,Charlotte Hornets,82,242.4,37.9,80.7,.470,7.1,18.5,.384,30.8,62.2,.495,19.9,25.8,.770,12.0,27.5,39.5,23.3,7.1,3.4,15.1,22.1,102.8
9,Dallas Mavericks,82,243.0,38.1,90.6,.420,9.0,24.9,.360,29.1,65.8,.443,17.4,24.1,.722,17.2,29.0,46.2,23.3,7.8,4.2,15.5,22.4,102.5
10,Washington Bullets,82,241.5,39.0,80.7,.484,6.0,14.8,.407,33.0,65.9,.501,18.4,25.3,.728,11.3,28.4,39.7,22.1,7.2,6.2,16.2,24.2,102.5
11,Houston Rockets*,82,241.5,37.5,81.0,.464,7.8,21.5,.362,29.8,59.5,.501,19.6,25.7,.765,11.2,29.9,41.1,24.2,7.9,5.8,15.2,21.4,102.5
12,Utah Jazz*,82,241.2,38.2,78.3,.488,4.6,12.4,.372,33.6,65.9,.509,21.6,28.1,.768,12.1,28.9,41.0,26.1,8.1,5.1,14.8,25.0,102.5
13,Golden State Warriors,82,240.9,37.3,81.7,.456,5.5,14.6,.373,31.8,67.1,.474,21.6,28.5,.759,14.3,27.9,42.2,23.0,8.6,5.7,16.4,22.4,101.6
14,Sacramento Kings*,82,240.9,36.2,79.2,.457,5.6,14.6,.387,30.6,64.6,.473,21.5,29.4,.731,13.6,28.6,42.2,22.3,7.8,5.3,17.6,26.0,99.5
15,Los Angeles Clippers,82,240.6,38.1,80.7,.472,6.2,16.8,.370,31.9,64.0,.499,17.0,24.2,.702,11.9,26.7,38.6,20.4,8.6,5.0,16.5,24.5,99.4
16,Portland Trail Blazers*,82,242.7,37.4,81.6,.458,5.9,16.6,.353,31.5,65.0,.485,18.7,28.3,.662,14.1,31.4,45.6,21.5,7.2,5.1,16.8,22.7,99.3
17,Indiana Pacers*,82,240.9,36.3,75.7,.480,4.4,11.9,.373,31.9,63.8,.500,22.2,29.5,.755,12.3,27.6,39.9,23.4,7.1,3.9,16.3,24.8,99.3
18,Atlanta Hawks*,82,240.6,36.4,81.3,.448,6.9,19.5,.355,29.5,61.8,.477,18.6,24.5,.757,14.4,26.2,40.6,19.6,9.4,3.9,15.0,20.9,98.3
19,Minnesota Timberwolves,82,241.2,36.3,79.0,.459,3.4,10.5,.326,32.9,68.6,.479,21.9,28.2,.777,12.0,27.7,39.7,22.8,7.9,5.9,17.4,24.3,97.9
20,Denver Nuggets,82,241.8,36.6,81.2,.451,4.8,14.0,.346,31.8,67.2,.473,19.7,26.5,.743,12.9,30.3,43.2,22.6,6.4,7.3,15.4,23.0,97.7
21,Toronto Raptors,82,241.8,37.6,80.5,.467,5.0,14.2,.354,32.6,66.2,.492,17.2,23.8,.723,13.1,27.0,40.0,23.5,9.1,6.0,18.8,24.2,97.5
22,New York Knicks*,82,241.8,36.6,77.8,.471,5.9,15.7,.377,30.7,62.2,.494,18.0,23.8,.757,10.1,29.9,40.0,22.2,7.9,4.6,15.5,22.7,97.2
23,Miami Heat*,82,241.2,35.4,77.4,.457,6.7,17.8,.379,28.7,59.6,.481,18.9,26.7,.710,12.2,30.4,42.6,21.4,7.0,5.4,17.0,26.3,96.5
24,Milwaukee Bucks,82,240.6,37.0,79.1,.467,4.4,12.9,.338,32.6,66.3,.493,17.2,23.3,.738,11.9,26.4,38.3,21.4,7.1,3.7,15.8,23.7,95.6
25,Detroit Pistons*,82,241.8,34.3,74.7,.459,6.6,16.5,.404,27.6,58.2,.475,20.2,26.9,.751,10.8,29.8,40.5,19.6,6.2,4.3,14.8,23.8,95.4
