,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,Dallas Mavericks,28.1,60,22,62,20,7.78,0.12,7.9,110.7,102.3,92.5,0.257,0.239,0.543,0.498,10.9,25.4,0.213,0.473,14.8,70.9,0.221,American Airlines Center,816429
2,Sacramento Kings,28.3,59,23,59,23,6.5,0.18,6.68,105.9,99.1,95.4,0.262,0.184,0.535,0.499,13.3,25.6,0.196,0.446,13.6,70.6,0.204,ARCO Arena (II),709997
3,San Antonio Spurs,28.4,60,22,57,25,5.41,0.23,5.65,105.6,99.7,90,0.348,0.202,0.541,0.497,15.1,28.8,0.253,0.453,14.2,71.3,0.199,SBC Center,735970
4,New Jersey Nets,27.3,49,33,56,26,5.22,-0.8,4.42,103.8,98.1,91.6,0.333,0.158,0.518,0.468,13.8,28.7,0.252,0.46,15.7,73.1,0.225,Continental Airlines Arena,622574
5,Detroit Pistons,29,50,32,52,30,3.68,-0.71,2.97,104.1,99.9,86.8,0.322,0.237,0.523,0.473,13.3,25.9,0.248,0.461,13.9,74,0.225,The Palace of Auburn Hills,839278
6,Portland Trail Blazers,29.2,50,32,49,33,2.61,0.36,2.97,105.5,102.6,89.4,0.3,0.177,0.531,0.489,14.5,30.2,0.223,0.483,14.9,72.3,0.194,Rose Garden Arena,796258
7,Indiana Pacers,25.9,48,34,51,31,3.49,-0.7,2.79,104.6,100.8,91.6,0.344,0.169,0.522,0.469,13.7,29,0.263,0.458,14.3,72.3,0.228,Conseco Fieldhouse,670461
8,Utah Jazz,30.9,47,35,48,34,2.39,0.37,2.76,105.5,102.8,89.3,0.38,0.104,0.537,0.486,16,32.5,0.283,0.468,15.2,70.2,0.256,Delta Center,786034
9,Los Angeles Lakers,28.1,50,32,48,34,2.33,0.38,2.71,107.2,104.7,92.5,0.311,0.199,0.528,0.486,13.3,30.2,0.228,0.477,13.4,72.7,0.241,STAPLES Center,777888
10,Minnesota Timberwolves,28.2,51,31,47,35,2.07,0.39,2.46,106.1,103.8,91.9,0.268,0.118,0.528,0.488,12.9,28.2,0.206,0.472,12.7,72.9,0.203,Target Center,643684
11,Houston Rockets,25.9,43,39,46,36,1.48,0.42,1.89,104.3,102.6,88.8,0.316,0.196,0.522,0.474,14.8,30.3,0.243,0.462,12.6,72.4,0.209,Compaq Center,565166
12,Philadelphia 76ers,28.3,48,34,48,34,2.3,-0.55,1.76,105,102.5,91.4,0.339,0.119,0.52,0.466,13.7,30.3,0.263,0.488,16.2,72.7,0.243,First Union Center,807097
13,Phoenix Suns,25.2,44,38,44,38,1.13,0.43,1.57,103.7,102.5,91.5,0.285,0.17,0.514,0.473,13.7,29.7,0.211,0.47,14.8,70.3,0.222,America West Arena,666559
14,New Orleans Hornets,29.1,47,35,47,35,2.11,-0.59,1.52,103.9,101.6,89.4,0.285,0.161,0.511,0.465,13.9,31.7,0.219,0.464,14,73.1,0.226,New Orleans Arena,641683
15,Seattle SuperSonics,26.9,40,42,41,41,-0.12,0.49,0.37,103.7,103.9,88,0.27,0.196,0.512,0.472,12.8,28.1,0.201,0.484,14.3,71.8,0.21,KeyArena at Seattle Center,637194
16,Milwaukee Bucks,29.3,42,40,42,40,0.23,-0.48,-0.24,108.8,108.6,90.4,0.287,0.229,0.543,0.5,12.2,25.6,0.222,0.494,13.5,69.9,0.237,Bradley Center,665966
17,Orlando Magic,26.9,42,40,41,41,0.13,-0.53,-0.39,105.2,105,93.1,0.307,0.235,0.526,0.478,13.3,27,0.239,0.486,15.1,71.1,0.25,TD Waterhouse Centre,605901
18,Golden State Warriors,24.4,38,44,38,44,-1.13,0.54,-0.6,108.3,109.5,94.2,0.343,0.178,0.526,0.472,13.9,35,0.267,0.482,12.2,67.9,0.22,The Arena in Oakland,634935
19,Boston Celtics,26.9,44,38,40,42,-0.39,-0.36,-0.75,101.2,101.6,90.9,0.306,0.331,0.514,0.47,13.4,23.6,0.227,0.471,15.1,72.5,0.242,FleetCenter,709049
20,Washington Wizards,28.4,37,45,38,44,-1.01,-0.46,-1.47,103,104.1,88.2,0.325,0.127,0.513,0.46,13,27.3,0.253,0.477,13.8,71.6,0.212,MCI Center,827093
21,New York Knicks,30.2,37,45,37,45,-1.35,-0.26,-1.61,104.7,106.2,90.7,0.241,0.235,0.528,0.486,13.4,24.4,0.196,0.485,13.7,71.8,0.261,Madison Square Garden (IV),779479
22,Memphis Grizzlies,24.9,28,54,32,50,-3.23,0.63,-2.6,103.9,107.3,92.7,0.287,0.19,0.526,0.487,14.2,27,0.212,0.491,13.4,68.7,0.197,Pyramid Arena,611322
23,Los Angeles Clippers,25.3,27,55,29,53,-4.12,0.68,-3.45,102.3,106.8,91.3,0.335,0.182,0.516,0.467,14.8,29.1,0.252,0.481,13.1,70.2,0.222,STAPLES Center,706471
24,Atlanta Hawks,27.2,35,47,31,51,-3.56,-0.31,-3.87,102.3,106.1,91,0.313,0.177,0.527,0.476,15.7,27.9,0.248,0.469,12.1,70.4,0.222,Philips Arena,528655
25,Miami Heat,26.5,25,57,25,57,-5.05,-0.08,-5.13,96.7,102.4,87.8,0.259,0.169,0.483,0.439,13.8,26.8,0.198,0.47,14.1,73.9,0.257,AmericanAirlines Arena,628242
26,Chicago Bulls,25.2,30,52,27,55,-5.13,-0.17,-5.31,100.2,105.6,93.5,0.3,0.148,0.512,0.471,15.4,27.7,0.217,0.47,13.3,69.5,0.263,United Center,804309
27,Toronto Raptors,27.6,24,58,24,58,-5.87,-0.23,-6.1,100.5,107,89.9,0.282,0.179,0.497,0.458,13.6,28.2,0.203,0.489,13.1,70.7,0.226,Air Canada Centre,777507
28,Denver Nuggets,24.1,17,65,17,65,-8.28,0.87,-7.41,92.2,101.3,91,0.283,0.126,0.469,0.428,17.1,31.3,0.198,0.477,16.5,73.3,0.29,Pepsi Center,607813
29,Cleveland Cavaliers,23.5,17,65,16,66,-9.62,0.04,-9.59,96.5,106.7,94,0.298,0.133,0.491,0.444,16.4,31,0.223,0.484,13,73.2,0.252,Gund Arena,471374
,League Average,27.2,,,41,41,0,0,0,103.6,103.6,91,0.302,0.182,0.519,0.474,14,28.5,0.229,0.474,14,71.5,0.229,,692220
