Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Phoenix Suns*,82,240.9,45.8,92.0,.498,2.0,5.9,.349,43.7,86.1,.508,25.0,31.6,.791,13.4,31.9,45.3,27.8,8.5,5.1,15.6,23.6,118.6
2,Denver Nuggets*,82,242.4,46.5,99.3,.468,2.8,8.2,.337,43.7,91.0,.480,22.2,28.2,.787,14.7,30.6,45.4,27.8,9.9,5.3,14.9,25.5,118.0
3,New York Knicks*,82,241.5,45.1,92.8,.486,4.7,14.0,.337,40.4,78.8,.513,21.7,28.9,.752,16.1,27.6,43.7,25.4,11.0,5.4,19.2,25.0,116.7
4,Golden State Warriors*,82,242.7,45.5,97.3,.468,2.4,7.7,.308,43.1,89.6,.481,23.2,29.1,.799,16.1,31.2,47.4,24.5,10.1,7.8,18.1,23.7,116.6
5,Los Angeles Lakers*,82,241.5,43.7,87.1,.502,2.8,8.1,.340,40.9,79.0,.518,24.5,30.6,.802,13.3,31.9,45.2,27.8,8.8,5.1,16.4,20.4,114.7
6,Portland Trail Blazers*,82,241.8,45.1,95.1,.474,2.6,7.9,.335,42.4,87.2,.487,21.8,29.5,.740,16.9,29.0,45.9,27.0,10.1,4.7,17.5,24.7,114.6
7,Seattle SuperSonics*,82,241.2,43.5,91.2,.477,3.6,9.4,.379,39.9,81.8,.488,21.6,29.0,.746,17.0,27.3,44.3,25.4,10.5,6.0,17.1,24.7,112.1
8,Philadelphia 76ers*,82,241.2,42.7,87.8,.486,2.5,7.9,.316,40.2,79.9,.503,24.0,30.5,.787,13.9,28.7,42.7,25.7,8.4,4.3,14.8,21.0,111.9
9,Atlanta Hawks*,82,241.5,41.6,88.2,.472,1.3,4.8,.277,40.3,83.3,.483,26.4,33.0,.800,16.7,28.2,45.0,24.3,10.0,5.8,16.0,22.9,111.0
10,Boston Celtics*,82,241.2,42.9,87.1,.493,1.0,3.8,.252,42.0,83.3,.504,22.4,28.6,.783,14.4,29.8,44.2,26.7,7.8,5.1,16.3,22.9,109.2
11,Milwaukee Bucks*,82,240.9,41.5,87.4,.474,2.2,6.9,.316,39.3,80.5,.488,23.8,29.0,.821,13.8,27.7,41.5,25.3,10.0,3.9,15.9,23.8,108.9
12,Cleveland Cavaliers*,82,240.9,42.3,84.2,.502,2.1,5.8,.359,40.2,78.4,.513,22.2,29.7,.747,12.6,30.2,42.8,27.6,9.6,7.1,16.1,19.4,108.8
13,Houston Rockets*,82,242.1,41.6,87.8,.474,2.0,6.4,.314,39.6,81.4,.487,23.3,30.8,.755,14.8,31.1,45.9,24.6,9.6,6.1,19.1,24.7,108.5
14,Washington Bullets,82,242.1,42.9,92.6,.464,0.6,3.0,.214,42.3,89.6,.472,21.8,28.3,.772,15.3,28.7,44.0,25.0,8.5,4.0,15.7,25.0,108.3
15,Indiana Pacers,82,242.1,41.3,84.7,.487,2.5,7.5,.328,38.8,77.2,.503,21.9,27.7,.789,13.0,30.5,43.4,24.5,6.9,5.1,18.9,25.7,106.9
16,Detroit Pistons*,82,241.8,41.4,83.9,.494,1.5,4.9,.300,39.9,79.0,.505,22.3,29.0,.769,14.1,31.0,45.1,24.7,6.4,5.0,16.3,23.6,106.6
17,Chicago Bulls*,82,241.2,42.0,85.0,.495,2.1,6.5,.328,39.9,78.5,.509,20.2,25.7,.786,12.4,29.9,42.3,27.0,8.8,4.6,16.2,22.6,106.4
18,Los Angeles Clippers,82,242.1,43.0,90.6,.475,0.7,2.9,.231,42.3,87.7,.483,19.6,27.1,.723,14.1,29.1,43.2,26.9,9.9,6.5,20.3,23.6,106.2
19,San Antonio Spurs,82,240.9,42.3,90.4,.468,0.8,3.6,.215,41.5,86.8,.479,20.1,28.9,.698,15.8,26.6,42.4,24.8,11.7,5.2,20.9,26.3,105.5
20,Sacramento Kings,82,241.2,41.0,89.6,.457,3.7,10.0,.373,37.3,79.6,.468,19.8,25.7,.770,13.9,29.9,43.8,24.0,7.6,5.0,16.7,22.9,105.5
21,Utah Jazz*,82,240.6,38.8,80.4,.482,1.4,4.6,.300,37.4,75.8,.494,25.7,33.4,.770,12.8,31.8,44.6,25.7,8.8,7.1,18.7,23.1,104.7
22,Charlotte Hornets,82,241.2,41.8,90.6,.461,1.6,5.2,.312,40.1,85.4,.470,19.3,25.1,.767,13.9,26.8,40.7,28.3,8.6,3.2,16.1,25.2,104.5
23,New Jersey Nets,82,241.5,40.6,88.1,.461,2.3,6.9,.329,38.4,81.2,.473,20.2,27.6,.731,14.7,29.5,44.2,21.9,9.4,5.3,17.7,24.0,103.7
24,Dallas Mavericks,82,241.2,39.6,84.4,.469,2.6,8.3,.310,37.0,76.0,.486,21.8,27.6,.789,12.8,29.2,42.0,22.8,7.1,5.8,15.0,21.2,103.5
25,Miami Heat,82,242.1,39.3,86.8,.453,1.2,3.6,.326,38.1,83.1,.458,18.0,25.6,.702,16.0,27.0,42.9,23.9,9.1,5.0,21.1,25.9,97.8
,League Average,82,241.5,42.5,89.0,.477,2.1,6.6,.323,40.4,82.4,.490,22.1,28.8,.768,14.5,29.4,43.9,25.6,9.1,5.3,17.2,23.7,109.2
