Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors*,82,242.4,45.9,90.6,.507,3.1,9.3,.333,42.8,81.3,.527,23.7,31.8,.746,13.9,29.0,42.8,25.2,10.4,4.6,16.5,25.0,118.7
2,Indiana Pacers*,82,243.4,42.7,86.3,.494,4.1,11.5,.354,38.6,74.9,.516,22.8,28.8,.790,13.2,31.3,44.5,29.2,8.6,4.8,17.1,26.1,112.2
3,Phoenix Suns*,82,241.5,43.3,88.0,.492,2.8,7.3,.381,40.6,80.8,.502,22.7,29.2,.776,13.3,31.2,44.5,26.9,8.2,7.1,15.1,22.6,112.1
4,Portland Trail Blazers*,82,242.4,42.4,89.7,.473,4.0,11.5,.344,38.4,78.1,.492,22.7,30.0,.754,15.8,31.1,46.9,25.2,9.2,5.0,16.2,24.2,111.4
5,Chicago Bulls*,82,241.8,44.4,87.4,.508,1.7,5.5,.304,42.7,81.9,.522,19.4,26.0,.744,14.3,29.7,44.0,27.8,8.2,5.9,13.3,20.6,109.9
6,Charlotte Hornets,82,241.5,44.1,92.3,.477,1.4,4.5,.317,42.6,87.8,.486,20.0,26.4,.755,14.2,28.9,43.1,27.9,10.0,3.8,15.5,22.2,109.5
7,Cleveland Cavaliers*,82,241.5,41.8,85.7,.488,3.1,8.6,.357,38.7,77.0,.502,22.2,27.5,.805,12.7,29.9,42.6,27.6,7.5,7.6,13.1,19.0,108.9
8,Utah Jazz*,82,242.4,41.2,83.7,.492,1.9,5.6,.345,39.3,78.1,.503,23.9,30.4,.788,13.4,31.0,44.4,26.7,8.7,5.5,15.4,21.3,108.3
9,Boston Celtics*,82,241.2,43.2,87.8,.492,1.3,4.4,.306,41.9,83.4,.502,18.9,23.4,.808,13.4,31.5,44.9,25.3,7.8,5.9,14.2,20.6,106.6
10,Seattle SuperSonics*,82,242.1,41.2,86.9,.474,2.5,7.9,.317,38.7,79.0,.490,21.6,27.6,.783,15.6,27.5,43.2,22.9,9.5,5.5,16.1,23.8,106.5
11,Atlanta Hawks,82,242.7,42.6,91.2,.467,2.6,8.2,.313,40.0,83.0,.482,18.5,25.3,.731,15.7,30.5,46.2,25.9,9.7,3.9,15.3,21.6,106.2
12,New Jersey Nets*,82,241.2,42.4,92.4,.458,2.7,8.2,.334,39.6,84.3,.470,17.9,24.5,.732,18.4,29.2,47.6,23.6,9.0,7.5,17.0,22.4,105.4
13,Milwaukee Bucks,82,242.4,40.5,88.0,.460,4.5,12.3,.369,36.0,75.7,.475,19.5,25.7,.759,15.8,26.5,42.3,24.6,10.5,3.9,16.5,23.2,105.0
14,Miami Heat*,82,241.8,39.7,86.1,.461,3.1,9.2,.342,36.6,77.0,.475,22.4,28.4,.790,14.5,28.9,43.3,21.3,8.2,4.5,16.8,22.2,105.0
15,Sacramento Kings,82,241.8,40.8,87.7,.466,2.9,8.2,.353,37.9,79.4,.477,19.7,26.4,.747,12.9,28.7,41.6,23.9,8.9,7.5,16.6,21.5,104.3
16,San Antonio Spurs*,82,241.2,41.2,86.5,.476,1.4,4.9,.292,39.7,81.5,.487,20.1,27.4,.736,15.0,31.1,46.1,24.5,8.9,7.4,16.0,21.9,104.0
17,Los Angeles Clippers*,82,241.8,40.8,86.3,.473,1.8,6.1,.289,39.0,80.2,.487,19.5,27.1,.720,13.8,29.2,43.0,25.0,10.0,6.1,15.5,22.8,102.9
18,Washington Bullets,82,242.1,41.0,89.0,.461,1.8,6.5,.272,39.2,82.5,.476,18.5,23.9,.778,13.0,28.6,41.6,24.5,8.7,5.1,15.3,22.6,102.4
19,Houston Rockets,82,242.4,39.9,84.1,.475,4.0,11.7,.343,35.9,72.4,.496,18.2,24.6,.738,13.1,29.7,42.8,25.1,8.0,7.0,16.8,21.6,102.0
20,Philadelphia 76ers,82,240.9,38.9,82.5,.471,2.8,8.3,.334,36.1,74.2,.487,21.4,27.6,.775,12.9,28.2,41.1,21.4,8.4,5.9,15.1,19.3,101.9
21,Orlando Magic,82,240.3,39.3,86.6,.453,2.4,7.4,.324,36.9,79.2,.466,20.6,27.7,.746,14.3,28.4,42.7,21.9,7.8,4.5,16.9,24.1,101.6
