Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,82,240.3,42.5,87.9,.484,3.0,9.1,.324,39.6,78.8,.503,28.2,34.9,.809,11.2,29.1,40.2,24.1,9.2,6.0,17.3,24.5,116.3
2,Phoenix Suns*,82,242.1,43.2,87.1,.496,2.1,6.6,.324,41.1,80.4,.511,26.3,33.1,.795,12.8,32.3,45.2,25.7,8.1,6.1,15.5,22.3,114.9
3,Denver Nuggets*,82,241.5,45.3,97.7,.464,2.8,8.3,.337,42.5,89.5,.475,21.2,26.8,.789,14.3,30.9,45.1,27.7,9.9,4.0,13.9,25.0,114.6
4,Portland Trail Blazers*,82,242.4,43.6,92.0,.473,2.3,6.9,.336,41.2,85.1,.484,24.8,33.3,.743,16.5,31.1,47.6,25.4,9.1,4.4,16.5,25.0,114.2
5,Orlando Magic,82,241.5,42.2,91.8,.459,1.4,4.8,.295,40.7,87.0,.468,25.1,33.2,.756,15.9,30.1,46.0,24.3,7.5,3.6,17.2,24.1,110.9
6,Los Angeles Lakers*,82,242.1,41.9,85.5,.490,3.8,10.3,.367,38.1,75.2,.507,23.2,29.5,.787,13.4,30.0,43.4,27.2,8.0,5.4,15.0,21.2,110.7
7,Philadelphia 76ers*,82,241.5,41.9,85.7,.489,2.3,6.6,.348,39.6,79.1,.501,24.1,30.6,.788,13.5,29.3,42.9,23.6,8.4,4.5,14.7,20.7,110.2
8,Boston Celtics*,82,240.3,43.5,87.2,.498,1.3,4.9,.262,42.2,82.2,.513,21.8,26.3,.832,13.0,33.0,46.0,29.5,6.6,5.5,15.3,20.9,110.0
9,Chicago Bulls*,82,241.8,43.1,86.5,.498,3.0,8.2,.374,40.0,78.3,.511,20.3,26.1,.778,13.1,27.8,40.9,26.5,9.9,4.7,15.2,23.2,109.5
10,Indiana Pacers*,82,242.4,41.2,83.0,.497,3.6,9.4,.382,37.6,73.6,.511,23.2,28.5,.816,11.5,29.1,40.6,24.7,6.7,4.3,16.4,24.0,109.3
11,Atlanta Hawks,82,240.6,41.7,85.6,.487,1.5,5.0,.302,40.2,80.6,.498,23.7,31.0,.764,15.5,26.7,42.2,22.2,8.7,4.3,15.5,22.8,108.5
12,New York Knicks*,82,241.8,41.9,86.5,.484,2.9,8.7,.332,39.0,77.8,.501,21.6,28.6,.756,14.5,29.6,44.1,26.1,8.7,6.0,17.2,22.3,108.3
13,Washington Bullets,82,241.8,43.9,92.5,.475,0.5,2.4,.188,43.4,90.0,.482,19.5,25.5,.764,14.6,29.9,44.5,27.0,6.8,5.2,14.6,23.5,107.7
14,Seattle SuperSonics,82,242.7,42.3,88.3,.479,2.8,7.9,.355,39.5,80.4,.491,19.6,26.4,.741,16.1,27.5,43.6,22.9,8.5,4.1,16.3,25.2,106.9
15,Utah Jazz*,82,241.8,40.6,80.4,.505,2.8,7.7,.359,37.9,72.7,.521,22.9,30.3,.754,11.6,30.5,42.1,27.0,8.3,6.0,17.2,24.8,106.8
16,Houston Rockets*,82,241.5,42.5,88.4,.480,1.9,6.0,.312,40.6,82.4,.493,19.9,27.6,.720,14.8,32.2,47.0,26.8,9.9,6.7,18.5,23.6,106.7
17,San Antonio Spurs*,82,240.6,41.3,85.3,.484,0.7,2.8,.239,40.7,82.6,.492,23.0,30.9,.745,14.2,30.2,44.4,24.8,9.7,6.8,17.1,22.6,106.3
18,Milwaukee Bucks*,82,241.8,41.2,87.1,.473,2.5,8.2,.312,38.7,79.0,.490,21.0,27.7,.758,13.5,27.4,40.9,25.0,10.1,4.0,16.0,25.4,106.0
19,Detroit Pistons*,82,241.5,40.6,85.1,.478,2.2,6.6,.327,38.5,78.5,.490,20.9,27.5,.761,14.5,30.0,44.4,24.3,6.2,5.1,15.0,23.9,104.3
20,Los Angeles Clippers,82,241.5,40.5,83.6,.484,0.7,2.8,.243,39.8,80.8,.493,22.1,30.0,.738,12.9,28.8,41.7,24.1,9.5,6.2,18.9,22.7,103.8
21,Cleveland Cavaliers*,82,242.4,39.2,85.1,.461,4.2,10.4,.407,35.0,74.7,.468,20.0,26.8,.744,13.8,29.0,42.8,25.7,7.9,6.2,15.2,20.3,102.6
22,Dallas Mavericks*,82,242.1,39.6,83.3,.475,1.9,5.9,.323,37.7,77.4,.487,21.2,27.6,.767,12.7,29.5,42.2,21.7,8.1,4.9,15.0,21.1,102.2
23,Sacramento Kings,82,240.9,40.3,86.0,.468,2.6,7.9,.333,37.7,78.1,.482,18.5,24.0,.771,11.6,28.8,40.4,25.0,6.7,4.8,15.1,22.7,101.7
24,Miami Heat,82,240.6,41.3,89.6,.461,1.1,3.7,.293,40.2,85.9,.468,17.0,24.7,.687,15.1,28.2,43.4,23.9,9.0,4.7,19.0,25.9,100.6
25,Charlotte Hornets,82,240.9,39.9,87.6,.455,2.5,7.5,.336,37.4,80.1,.466,18.1,24.0,.756,11.7,27.0,38.7,25.4,9.5,3.2,15.0,23.0,100.4
26,New Jersey Nets,82,240.3,38.5,90.4,.426,1.7,6.2,.277,36.8,84.3,.437,21.4,28.7,.746,16.6,28.3,45.0,18.0,9.4,5.9,16.6,23.8,100.1
27,Minnesota Timberwolves,82,242.1,37.4,83.9,.446,0.9,3.6,.248,36.5,80.3,.455,19.5,26.1,.747,14.6,25.0,39.6,22.5,9.6,4.2,14.6,23.2,95.2
,League Average,82,241.5,41.5,87.2,.476,2.2,6.6,.331,39.3,80.6,.488,21.8,28.5,.764,13.8,29.3,43.1,24.9,8.5,5.1,16.1,23.3,107.0
