Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Los Angeles Lakers*,82,241.8,38.4,79.7,.481,6.1,17.3,.351,32.3,62.5,.517,22.7,33.5,.679,13.2,30.1,43.3,24.5,9.0,6.8,15.3,22.7,105.5
2,Minnesota Timberwolves*,82,243.0,38.5,83.5,.461,3.7,10.6,.347,34.8,72.8,.478,20.4,27.5,.743,13.0,29.6,42.6,25.2,7.8,5.2,13.9,23.0,101.1
3,Utah Jazz*,82,241.2,36.5,74.5,.490,3.0,8.2,.372,33.5,66.4,.504,24.9,32.2,.773,11.7,29.3,41.1,25.2,7.9,5.0,15.4,23.9,101.0
4,Seattle SuperSonics*,82,240.9,37.2,78.8,.473,7.6,19.1,.396,29.6,59.6,.497,18.5,25.7,.721,11.4,27.1,38.5,24.2,9.8,4.6,14.0,22.1,100.6
5,New Jersey Nets*,82,242.4,37.3,84.5,.441,3.8,11.4,.331,33.5,73.1,.458,21.3,28.7,.744,16.4,26.1,42.5,20.5,9.5,3.8,14.4,23.4,99.6
6,Phoenix Suns*,82,243.4,38.3,81.8,.468,5.3,14.8,.356,33.0,67.1,.492,17.8,23.8,.749,12.1,29.9,42.0,25.9,9.2,5.2,15.1,21.5,99.6
7,Houston Rockets*,82,241.8,35.9,79.4,.452,7.0,20.4,.343,28.9,59.1,.490,19.9,25.9,.771,12.0,28.7,40.7,21.9,8.4,3.6,15.8,20.2,98.8
8,Washington Wizards,82,241.5,37.6,83.1,.452,3.9,11.5,.339,33.7,71.5,.470,18.2,26.3,.691,13.7,28.5,42.2,23.2,8.4,4.6,14.1,22.4,97.2
9,Chicago Bulls*,82,242.1,37.4,82.9,.451,3.8,11.7,.323,33.6,71.2,.471,18.2,24.5,.743,15.2,29.7,44.9,23.8,8.5,4.3,14.4,20.6,96.7
10,Vancouver Grizzlies,82,241.8,36.7,80.1,.458,4.0,11.0,.362,32.7,69.1,.473,19.3,26.2,.739,13.2,28.2,41.4,23.9,7.5,4.3,17.1,22.1,96.6
11,Charlotte Hornets*,82,241.2,36.2,77.4,.468,4.2,11.0,.383,32.0,66.3,.482,20.0,26.7,.751,12.0,28.5,40.6,23.7,8.4,3.8,15.2,21.4,96.6
12,Indiana Pacers*,82,241.8,35.6,75.9,.469,4.9,12.5,.390,30.7,63.3,.485,19.9,26.0,.764,10.7,28.6,39.3,23.0,7.9,4.5,14.2,22.7,96.0
13,Los Angeles Clippers,82,241.2,35.7,81.6,.438,6.4,17.9,.358,29.3,63.7,.461,18.0,25.0,.723,12.7,27.8,40.4,18.7,7.6,5.6,16.1,22.3,95.9
