Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
14,Boston Celtics,82,240.6,36.7,84.6,.434,5.1,15.2,.332,31.7,69.3,.457,17.4,24.0,.726,14.6,24.9,39.5,22.1,12.0,4.5,16.2,26.9,95.9
15,Atlanta Hawks*,82,242.4,35.2,77.5,.455,4.1,12.4,.332,31.1,65.1,.478,21.3,28.2,.756,13.5,29.5,43.0,19.1,8.0,6.0,14.8,20.4,95.9
16,Miami Heat*,82,240.9,34.8,77.2,.450,6.7,18.8,.355,28.1,58.3,.481,18.8,25.4,.739,12.5,29.5,42.0,21.4,8.1,5.2,15.0,24.2,95.0
17,Toronto Raptors,82,243.0,36.2,83.1,.435,4.5,13.2,.343,31.6,69.8,.453,18.0,25.1,.718,14.5,26.2,40.7,21.3,9.4,8.1,16.7,22.6,94.9
18,Milwaukee Bucks,82,243.0,35.6,78.0,.456,3.0,8.6,.354,32.5,69.5,.469,20.3,26.4,.767,12.6,27.3,39.9,20.1,8.9,4.4,16.9,23.4,94.5
19,Portland Trail Blazers*,82,241.8,35.2,78.0,.451,4.0,12.8,.309,31.2,65.2,.479,20.0,27.1,.737,13.2,30.8,44.0,21.5,7.1,5.7,16.9,22.7,94.3
20,Detroit Pistons,82,243.4,34.9,77.7,.449,3.6,11.4,.312,31.3,66.3,.473,20.8,27.9,.745,12.7,28.5,41.2,19.5,8.3,4.2,14.6,22.0,94.2
21,Philadelphia 76ers,82,240.9,34.6,78.2,.443,3.0,9.9,.300,31.6,68.3,.463,21.1,28.7,.737,13.7,28.0,41.7,21.1,8.9,6.0,16.5,22.9,93.3
22,Sacramento Kings,82,240.6,36.1,81.5,.442,3.5,9.8,.351,32.6,71.7,.455,17.6,25.6,.687,13.3,28.1,41.4,22.4,7.3,5.1,15.5,22.1,93.1
23,San Antonio Spurs*,82,241.8,35.3,75.5,.468,3.7,10.5,.350,31.7,64.9,.488,18.2,26.4,.688,12.0,32.2,44.2,22.4,6.3,6.9,16.1,21.1,92.5
24,Cleveland Cavaliers*,82,241.8,34.4,75.7,.454,3.6,9.8,.372,30.7,65.9,.466,20.2,26.7,.756,11.6,28.4,40.1,23.1,9.9,5.1,17.3,23.6,92.5
25,New York Knicks*,82,241.8,34.9,78.2,.447,4.7,13.9,.335,30.3,64.3,.471,17.1,22.1,.772,11.9,29.7,41.6,21.8,7.7,3.4,15.2,23.7,91.6
26,Dallas Mavericks,82,242.7,35.1,82.4,.427,5.1,14.4,.357,30.0,67.9,.442,16.0,21.2,.753,12.3,27.8,40.1,18.7,7.9,5.7,14.4,20.0,91.4
27,Orlando Magic,82,241.8,33.8,78.7,.429,3.6,11.1,.323,30.2,67.7,.447,18.9,26.1,.726,14.4,26.9,41.2,20.7,7.9,5.4,15.3,19.7,90.1
28,Denver Nuggets,82,240.6,32.6,78.2,.417,3.5,10.9,.323,29.1,67.3,.433,20.2,26.2,.772,12.7,26.3,39.0,18.9,8.1,4.8,16.0,23.6,89.0
29,Golden State Warriors,82,241.8,34.7,83.9,.413,2.3,8.5,.272,32.4,75.5,.429,16.6,23.3,.710,15.7,30.2,45.9,20.8,7.6,5.5,16.7,22.7,88.3
,League Average,82,241.9,35.9,79.7,.450,4.4,12.7,.346,31.5,67.0,.470,19.4,26.3,.737,13.1,28.5,41.5,22.0,8.4,5.1,15.5,22.4,95.6
