Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,Chicago Bulls*,26.9,61,21,63,19,9.10,-0.53,8.57,114.6,105.2,95.6,.296,.060,.560,.521,12.8,34.7,.225,.488,15.3,68.8,.226,Chicago Stadium,757745
2,Portland Trail Blazers*,27.9,63,19,62,20,8.68,-0.21,8.47,112.8,104.3,100.5,.344,.123,.554,.509,13.4,33.8,.259,.473,14.4,70.4,.250,Memorial Coliseum,528244
3,Los Angeles Lakers*,28.4,58,24,59,23,6.74,-0.01,6.73,112.1,105.0,94.1,.327,.108,.551,.500,13.2,33.0,.261,.474,12.8,68.3,.176,Great Western Forum,682024
4,Phoenix Suns*,26.9,55,27,57,25,6.55,-0.06,6.49,112.6,106.1,101.0,.372,.060,.558,.506,13.5,33.0,.287,.474,13.1,68.5,.227,Arizona Veterans Memorial Coliseum,589591
5,Boston Celtics*,28.2,56,26,56,26,5.82,-0.60,5.22,112.6,106.7,98.5,.277,.048,.565,.520,14.0,33.0,.228,.465,11.7,69.3,.217,Boston Garden,611537
6,San Antonio Spurs*,26.0,55,27,53,29,4.51,-0.21,4.30,107.8,103.3,98.6,.352,.043,.544,.494,15.2,33.3,.269,.463,13.2,70.3,.228,HemisFair Arena,651965
7,Houston Rockets*,27.3,52,30,50,32,3.50,-0.23,3.27,107.4,103.9,98.5,.302,.136,.530,.489,14.5,34.4,.224,.469,14.7,66.9,.220,The Summit,613230
8,Utah Jazz*,28.7,54,28,50,32,3.33,-0.15,3.18,108.6,105.1,95.3,.378,.070,.559,.503,14.6,27.6,.298,.473,13.7,69.2,.230,Salt Palace,514751
9,Detroit Pistons*,30.5,50,32,50,32,3.27,-0.19,3.08,108.2,104.6,91.9,.322,.064,.523,.474,13.1,34.7,.245,.464,12.8,71.0,.248,The Palace of Auburn Hills,879614
10,Milwaukee Bucks*,29.3,48,34,48,34,2.48,-0.15,2.33,109.7,107.2,96.1,.323,.108,.550,.499,14.3,31.8,.258,.500,16.4,66.1,.259,Bradley Center,673687
11,Golden State Warriors*,26.5,44,38,45,37,1.63,0.09,1.72,111.9,110.3,103.6,.376,.109,.559,.504,13.7,31.0,.294,.497,15.2,64.1,.289,Oakland-Alameda County Coliseum Arena,616025
12,Seattle SuperSonics*,26.2,41,41,44,38,1.23,0.08,1.31,109.7,108.5,96.2,.301,.060,.542,.501,14.8,36.3,.226,.503,16.0,66.3,.277,Seattle Center Coliseum,501250
13,Atlanta Hawks*,29.0,43,39,43,39,0.77,-0.05,0.72,110.9,110.1,98.6,.352,.116,.540,.482,12.9,33.1,.282,.509,13.7,69.1,.220,Omni Coliseum,529161
14,Indiana Pacers*,26.4,41,41,40,42,-0.39,0.02,-0.37,111.7,112.1,99.4,.354,.107,.566,.511,14.4,30.6,.287,.503,13.1,66.4,.254,Market Square Arena,465650
15,Philadelphia 76ers*,28.4,44,38,41,41,-0.18,-0.21,-0.39,107.9,108.1,95.7,.342,.089,.542,.489,13.4,28.1,.270,.489,12.5,68.3,.187,The Spectrum,624582
16,New York Knicks*,28.1,39,43,40,42,-0.23,-0.20,-0.43,107.1,107.3,95.0,.315,.082,.544,.498,15.1,31.1,.242,.489,13.4,68.5,.205,Madison Square Garden (IV),654962
17,Cleveland Cavaliers,26.8,33,49,34,48,-2.46,0.14,-2.33,106.1,108.7,95.1,.317,.070,.534,.487,14.1,29.7,.243,.497,13.3,68.0,.206,Coliseum at Richfield,623735
18,Los Angeles Clippers,25.1,31,51,32,50,-3.45,0.29,-3.16,103.0,106.5,99.9,.311,.059,.511,.471,14.7,33.3,.218,.481,13.7,69.2,.266,Los Angeles Memorial Sports Arena,522111
19,Minnesota Timberwolves,26.2,29,53,30,52,-3.93,0.18,-3.75,106.7,110.9,92.3,.286,.052,.499,.456,11.5,34.9,.210,.502,13.8,65.9,.248,Target Center,779530
20,Orlando Magic,26.1,31,51,31,51,-3.98,0.18,-3.79,105.9,109.9,99.5,.337,.104,.521,.473,14.3,33.0,.251,.493,12.8,68.9,.260,Orlando Arena,617668
21,Dallas Mavericks,30.6,28,54,29,53,-4.57,0.31,-4.27,105.5,110.3,94.2,.288,.087,.528,.485,13.3,28.3,.219,.495,12.6,67.9,.245,Reunion Arena,683927
22,New Jersey Nets,26.2,26,56,29,53,-4.51,-0.02,-4.53,102.9,107.4,99.3,.301,.079,.500,.455,14.4,35.7,.222,.478,14.9,64.6,.267,Brendan Byrne Arena,480786
23,Washington Bullets,26.5,30,52,28,54,-4.98,0.14,-4.84,103.0,108.1,97.5,.279,.039,.509,.470,14.3,32.2,.203,.478,13.1,66.0,.242,Capital Centre,443683
24,Charlotte Hornets,25.5,26,56,27,55,-5.24,0.30,-4.95,105.0,110.4,97.3,.315,.059,.526,.477,13.9,29.0,.245,.504,15.0,65.7,.272,Charlotte Coliseum,978141
25,Miami Heat,24.0,24,58,25,57,-5.99,0.08,-5.91,102.0,108.1,99.3,.323,.065,.512,.469,16.0,34.3,.231,.491,15.3,66.2,.286,Miami Arena,615328
26,Sacramento Kings,25.9,25,57,23,59,-6.78,0.51,-6.27,102.0,109.1,94.7,.309,.085,.512,.468,14.1,28.8,.226,.481,14.3,65.6,.306,ARCO Arena (II),697604
27,Denver Nuggets,26.5,20,62,19,63,-10.91,0.60,-10.31,105.2,114.7,113.7,.255,.119,.498,.457,11.9,33.1,.195,.524,14.1,67.1,.299,McNichols Sports Arena,438103
,League Average,27.2,,,41,41,0.00,0.00,0.00,107.9,107.9,97.8,.320,.082,.534,.487,13.9,32.3,.245,.487,13.9,67.7,.245,,621283
