Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Phoenix Suns*,82,240.6,42.6,86.5,.493,4.9,13.4,.363,37.8,73.1,.516,23.3,31.0,.753,13.9,30.6,44.5,25.5,9.2,5.5,16.6,21.2,113.4
2,Charlotte Hornets*,82,240.9,42.8,87.9,.487,2.1,6.5,.326,40.7,81.4,.500,22.3,29.0,.771,13.4,30.6,43.9,26.4,7.8,5.8,16.2,21.8,110.1
3,Golden State Warriors,82,242.7,42.4,88.0,.482,3.6,10.4,.350,38.7,77.6,.499,21.6,30.1,.717,14.9,29.1,43.9,24.5,8.5,4.7,17.7,25.1,109.9
4,Portland Trail Blazers*,82,242.7,41.0,89.5,.458,3.4,10.3,.326,37.6,79.3,.475,23.2,31.1,.745,15.0,30.6,45.5,24.0,9.4,5.2,14.8,23.1,108.5
5,Seattle SuperSonics*,82,241.2,42.4,87.1,.486,2.7,7.4,.357,39.7,79.6,.498,21.0,27.5,.761,14.9,27.5,42.4,23.2,11.5,5.0,15.5,24.0,108.3
6,Sacramento Kings,82,241.2,41.0,88.6,.463,3.2,9.6,.332,37.8,79.0,.478,22.7,29.8,.762,13.9,27.8,41.7,25.3,9.4,4.2,16.6,25.4,107.9
7,Indiana Pacers*,82,240.9,41.1,85.6,.480,3.1,9.6,.326,38.0,76.0,.500,22.4,29.3,.766,14.9,29.9,44.8,26.1,7.5,4.9,15.3,24.9,107.8
8,Cleveland Cavaliers*,82,241.8,41.8,84.0,.497,3.5,9.0,.381,38.3,74.9,.511,20.7,25.8,.802,11.3,30.4,41.8,28.6,7.5,6.5,13.7,19.3,107.7
9,Atlanta Hawks*,82,241.8,41.4,88.7,.466,4.7,13.1,.355,36.7,75.6,.486,20.1,27.1,.742,15.7,28.6,44.3,25.4,9.8,3.4,16.3,22.0,107.5
10,Los Angeles Clippers*,82,241.5,43.2,89.4,.484,1.6,6.0,.271,41.6,83.4,.499,19.0,26.5,.718,14.4,28.8,43.2,27.3,10.3,6.0,16.3,23.4,107.1
11,Utah Jazz*,82,240.9,40.7,83.3,.489,1.6,5.0,.314,39.1,78.2,.500,23.3,30.4,.766,12.7,30.0,42.7,26.5,9.1,4.2,15.5,24.0,106.2
12,San Antonio Spurs*,82,242.1,40.4,82.5,.490,2.9,8.4,.341,37.5,74.0,.507,21.9,28.6,.765,11.2,31.0,42.2,24.5,7.1,6.3,15.0,22.5,105.5
13,Orlando Magic,82,242.4,39.7,81.8,.486,3.9,10.8,.357,35.9,71.0,.505,22.2,30.4,.730,12.7,31.3,44.0,23.8,6.6,5.7,17.4,23.5,105.5
