Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Attendance,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)","(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(0, 1, 0)","(0, 1, 1)","(0, 1, 2)","(0, 2, 0)","(0, 2, 1)","(0, 2, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(1, 2, 0)","(1, 2, 1)","(1, 2, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)",Standings_Bucket,Standings_Bucket_Next
1994,24,Phoenix Suns,1,0,82,56,26,2.153846154,240.3,41.8,86.3,0.484,4.2,12.7,0.33,37.6,73.6,0.511,20.4,28.1,0.728,14.9,29.9,44.8,27.6,9.1,5.6,15.9,20.0,108.2,28.7,54,28,4.84,-0.17,4.68,111.7,106.8,96.7,0.325,0.147,0.5479999999999999,0.509,13.9,35.2,0.23600000000000002,0.509,13.9,69.3,0.23600000000000002,779952,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,24,Phoenix Suns,1,0,82,59,23,2.565217391,241.8,40.9,85.0,0.48200000000000004,7.1,19.3,0.369,33.8,65.6,0.515,21.7,28.7,0.7559999999999999,12.5,29.3,41.8,26.8,8.4,3.8,14.2,22.4,110.6,29.2,51,31,3.88,-0.02,3.86,114.5,110.4,95.9,0.33799999999999997,0.22699999999999998,0.5670000000000001,0.524,12.7,29.7,0.255,0.524,12.7,69.8,0.255,779943,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1996,24,Phoenix Suns,1,0,82,41,41,1.0,243.4,38.5,81.4,0.473,4.0,12.0,0.332,34.5,69.4,0.498,23.3,30.1,0.7709999999999999,12.3,30.5,42.8,24.4,7.6,4.0,14.7,21.7,104.3,27.9,42,40,0.33,-0.05,0.28,110.3,110.0,93.2,0.37,0.147,0.551,0.498,13.5,29.8,0.28600000000000003,0.498,13.5,71.4,0.28600000000000003,779943,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1997,24,Phoenix Suns,1,0,82,40,42,0.9523809520000001,242.1,38.3,81.8,0.469,6.4,17.4,0.369,31.9,64.4,0.496,19.7,25.9,0.7609999999999999,11.2,29.0,40.1,25.2,8.1,3.9,14.4,21.1,102.8,28.5,43,39,0.66,-0.45,0.21,109.3,108.6,93.2,0.317,0.213,0.552,0.508,13.4,27.1,0.24100000000000002,0.508,13.4,69.4,0.24100000000000002,779940,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1987,25,Portland Trail Blazers,1,0,82,49,33,1.484848485,241.5,44.5,88.4,0.504,1.2,4.1,0.289,43.3,84.3,0.514,27.7,35.7,0.775,14.4,29.4,43.8,28.8,9.4,4.7,18.9,25.4,117.9,26.9,49,33,3.13,-0.57,2.57,111.5,108.6,105.0,0.40399999999999997,0.047,0.5660000000000001,0.51,15.3,34.1,0.313,0.51,15.3,66.6,0.313,519306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,25,Portland Trail Blazers,1,0,82,53,29,1.827586207,240.6,44.6,91.0,0.491,1.4,4.6,0.308,43.2,86.3,0.501,25.4,32.9,0.77,15.3,30.4,45.6,28.1,8.9,4.2,16.5,25.5,116.1,27.1,52,30,4.52,-0.94,3.59,111.8,107.4,103.6,0.36200000000000004,0.051,0.55,0.499,13.5,34.3,0.27899999999999997,0.499,13.5,68.4,0.27899999999999997,519306,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1989,25,Portland Trail Blazers,1,0,82,39,43,0.9069767440000001,241.8,45.1,95.1,0.474,2.6,7.9,0.335,42.4,87.2,0.48700000000000004,21.8,29.5,0.74,16.9,29.0,45.9,27.0,10.1,4.7,17.5,24.7,114.6,26.9,45,37,1.46,-0.55,0.92,109.4,108.0,103.9,0.31,0.083,0.53,0.488,13.9,36.7,0.23,0.488,13.9,67.4,0.23,527008,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1990,25,Portland Trail Blazers,1,1,82,59,23,2.565217391,242.4,43.6,92.0,0.473,2.3,6.9,0.336,41.2,85.1,0.484,24.8,33.3,0.743,16.5,31.1,47.6,25.4,9.1,4.4,16.5,25.0,114.2,26.7,57,25,6.32,0.16,6.48,110.5,104.4,102.3,0.36200000000000004,0.075,0.535,0.486,13.4,36.5,0.26899999999999996,0.486,13.4,70.8,0.26899999999999996,528132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,25,Portland Trail Blazers,1,1,82,63,19,3.315789474,242.7,40.5,88.7,0.456,2.9,8.9,0.32299999999999995,37.6,79.8,0.47100000000000003,22.2,28.5,0.777,13.2,28.7,41.9,25.0,7.7,4.3,17.0,25.3,106.0,27.9,62,20,8.68,-0.21,8.47,112.8,104.3,100.5,0.344,0.12300000000000001,0.5539999999999999,0.509,13.4,33.8,0.259,0.509,13.4,70.4,0.259,528244,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,25,Portland Trail Blazers,1,1,82,57,25,2.28,242.4,42.4,89.7,0.473,4.0,11.5,0.344,38.4,78.1,0.49200000000000005,22.7,30.0,0.754,15.8,31.1,46.9,25.2,9.2,5.0,16.2,24.2,111.4,28.1,59,23,7.27,-0.33,6.94,111.4,104.2,99.0,0.335,0.128,0.541,0.495,13.6,35.6,0.253,0.495,13.6,69.9,0.253,528408,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
