Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Conference Finalist,Standings_Bucket ,E/W
1,Golden State Warriors,82,242.4,45.9,90.6,0.507,3.1,9.3,0.333,42.8,81.3,0.527,23.7,31.8,0.746,13.9,29,42.8,25.2,10.4,4.6,16.5,25,118.7,0,0,1
2,Indiana Pacers,82,243.4,42.7,86.3,0.494,4.1,11.5,0.354,38.6,74.9,0.516,22.8,28.8,0.79,13.2,31.3,44.5,29.2,8.6,4.8,17.1,26.1,112.2,0,1,0
3,Phoenix Suns,82,241.5,43.3,88,0.492,2.8,7.3,0.381,40.6,80.8,0.502,22.7,29.2,0.776,13.3,31.2,44.5,26.9,8.2,7.1,15.1,22.6,112.1,0,0,1
4,Portland Trail Blazers,82,242.4,42.4,89.7,0.473,4,11.5,0.344,38.4,78.1,0.492,22.7,30,0.754,15.8,31.1,46.9,25.2,9.2,5,16.2,24.2,111.4,1,0,1
5,Chicago Bulls,82,241.8,44.4,87.4,0.508,1.7,5.5,0.304,42.7,81.9,0.522,19.4,26,0.744,14.3,29.7,44,27.8,8.2,5.9,13.3,20.6,109.9,1,0,0
6,Charlotte Hornets,82,241.5,44.1,92.3,0.477,1.4,4.5,0.317,42.6,87.8,0.486,20,26.4,0.755,14.2,28.9,43.1,27.9,10,3.8,15.5,22.2,109.5,0,2,0
7,Cleveland Cavaliers,82,241.5,41.8,85.7,0.488,3.1,8.6,0.357,38.7,77,0.502,22.2,27.5,0.805,12.7,29.9,42.6,27.6,7.5,7.6,13.1,19,108.9,1,0,0
8,Utah Jazz,82,242.4,41.2,83.7,0.492,1.9,5.6,0.345,39.3,78.1,0.503,23.9,30.4,0.788,13.4,31,44.4,26.7,8.7,5.5,15.4,21.3,108.3,1,0,1
9,Boston Celtics,82,241.2,43.2,87.8,0.492,1.3,4.4,0.306,41.9,83.4,0.502,18.9,23.4,0.808,13.4,31.5,44.9,25.3,7.8,5.9,14.2,20.6,106.6,0,0,0
10,Seattle SuperSonics,82,242.1,41.2,86.9,0.474,2.5,7.9,0.317,38.7,79,0.49,21.6,27.6,0.783,15.6,27.5,43.2,22.9,9.5,5.5,16.1,23.8,106.5,0,1,1
